ID,Source,Tag_Code,Tag_Name,Title,Url,ProcessdedTitle,WeightedContent,Content
1,Lobsters,fortran,Fortran programming,"xmake v2.3.6 released, Support fortran compilation and go/dlang package dependences","https://github.com/xmake-io/xmake/wiki/xmake-v2.3.6-released,-Support-fortran-compilation-and-go-dlang-package-dependences",xmake released support fortran compilation godlang package dependence,introduction new feature fortran language compilation support fortran example zig language experimental support http githubcomziglangzig zig example go dependency package cross compilation support go example dlangdub dependency package support,version focus improvement support language fortran compilation support experimental support zig language thirdparty dependency package support crosscompilation support golangdlang although xmake focus cc build support language support xmake also make improvement time time main purpose replace official build system support mixed compilation cc better serve cc project cc project still occasionally call code interface language mixed call language cuda dlang objc swift asm etc xmake still provides basic compilation support addition regarding cc also support header file dependency format new sourcedependencies xxxjson output v preview version reliable stable multilanguage header file dependency detection introduction new feature fortran language compilation support starting version fully supported use gfortran compiler compile fortran project quickly create empty project based fortran using following command xmake create l fortran console test xmakelua content follows addrules modedebug moderelease target test setkind binary addfiles src code example viewed fortran example zig language experimental support note present language xmake still experimental support stage perfect example supported window dynamic library compilation linuxmacos yet supported please evaluate use use following configuration method try experience least console static library program linuxmacos still run addrules modedebug moderelease target test setkind binary addfiles src zig window support please refer issue mentioned zig earlier dynamic library support pitfall dynamic library generated zig automatically append see issue http githubcomziglangzig addition lay pit personally feel lot pit still experimental stage time look later example see zig example go dependency package cross compilation support new version xmake continues make improvement go build support crosscompilation go example compile window program macos linux xmake f p window addition new version also initially support thirdparty dependency package management go addrules modedebug moderelease addrequires go githubcomsirupsenlogrus alias logrus addrequires go golangorgxsysinternalunsafeheader alias unsafeheader isplat window addrequires go golangorgxsyswindows alias syshost else addrequires go golangorgxsysunix alias syshost end target test setkind binary addfiles src go addpackages logrus syshost unsafeheader however still imperfection example cascading dependency package must manually configured present bit cumbersome need improved future example see go example dlangdub dependency package support xmake also support dlang dub package management quickly integrate dlang thirdparty dependency package addrules modedebug moderelease addrequires dub log alias log addrequires dub dateparser alias dateparser addrequires dub emsicontainers alias emsicontainers addrequires dub stdxallocator alias stdxallocator addrequires dub mircore alias mircore target test setkind binary addfiles src addpackages log dateparser emsicontainers stdxallocator mircor
2,Lobsters,fortran,Fortran programming,Rewriting FORTRAN Software In Rust,https://mckeogh.tech/post/shallow-water/,rewriting fortran software rust,amdahl law introduction rewrite rewrite legacy code situation different vulnerability microsoft assigns cve year continue memory safety issue translating fortran rust bindgen optimizing parallelisation amdahl law memory bandwidth issue gpu unsuitability radeon pro ssg benchmark analysis conclusion,tl dr rewriting always bad probably amdahl law important memory bandwidth potential bottleneck many simple double precision math operationsintroductionas part undergraduate research assistant scheme first year university tasked parallelising piece shallow water simulation software written fortran dr david dritschel vortex dynamic research group supervision dr alexander konovalov university st andrew secondary goal improving testing infrastructure setting cicd estimating progress allowing computation paused resumedforewarning essentially zero domain knowledge project fluid dynamic simulation exactly kind topic catch research level weekend approached project purely software engineering perspective rust experience using personal project since worked rust software engineer startup berlin year leaving high schooldon rewritedon trewritelegacycodenot hard concept grasp much ambiguity clear line reasoning follow legacy software rewritten well read article written people far experienced knowledgable thought situation differentall joke aside situation reimplementation reasonable option several factor back upfortran undoubtably fast highly suited hpc problem decadesoptimised compiler debugging tooling lack certain feature namely memory safety thread safety data race guarantee ergonomic gpuclitui librarieshaving written parallel software c rust memory safety guarantee easy parallelisation rayon offered rust contrast quite sharply poor experience using openmp replacing iter pariter compiler automatically throw error code thread safe amazing compared adding openmp directive sentinel designed hidden non openmpcompliant fortran compiler manually determining thread memory safety seems good place mention vulnerability microsoft assigns cve year continue memory safety issue believed initially gpus could used accelerate computation another place rust mature ecosystem also shine offered fortran edit completely untrue fortran gpu acceleratin library mature production ready additionally came additional requirement building ncurses interface fortran exactly ergonomic compared library available rust spent time reading original implementation attempted basic parallelisation little success due small error hard diagnose across long execution without snapshot testing across multiple modulesnot several pull factor also absence typical reason rewrite working oneperson team software finalised never needed modified relatively small could rewritten matter month part time live business component uptime upkeep original implementation irrelevantgiven decided would faster rewrite rust able parallelise add feature quickly would plough fortran goahead supervisor got worktranslating fortran rustrelatively straightforward translation existing codebases compiled language rust noted benefit due combination software like perform automatic translation c source rust bindgen automatically generating ffi binding cargo ability compile code language part rust project plenty example large project successfully migrating rust way issue faced would required twostep process first translating fortran c c rust assumed likelihood resulting code would remotely parsable low even get either popular fortran c conversion tool worksince original implementation line total decided go manual translation involved starting base module tree fast fourier transform routine working upwards kept process simple inserting small piece fortran dump state beginning end routine used snapshot test rust implementation resulted thorough robust testing suite invaluble optimization period really made one bad design decision please read git history confirm translation phase thinking nested vecs would easier using ndarray start bad wasted much time abysmal execution speed slowing cargo test also significantly increased development time would replace statement aswith awful awful rust x j j j b j final ndarray version would look like ergonomic rust b clearly intermediary step could skipped direct translation possible wrote regex replace fortran array indexing syntax array x z nested vecs rust array x z ndarray syntax array x z would far simpler conversion decision bad enough also wasted time writing several function convert byte slice nested vecs fortran memory layout ndarray builtin preset fortran shape stridesone issue arose testing due accumulation small error floating point math result would slightly different operating system hardware configuration made fantastic snapshot testing tool insta unsuitable instead ndarray serde approx feature flag used read serialised array disk compare approximately test working welloptimizingparallelisationfundamentally problem one may described embarrassingly parallel assumption made going project early discussion involved expectation improvement university cluster ideally would want many large chunk independent computation operating small amount data making easy distribute work across thread gpus potentially different machine unfortunately learned problem quite far idealthe outermost loop advance time therefore strictly sequential primary function program srcnhswpsadvancers advance large portion iterated twice also strictly sequential lowerlevel function perform operation individual layer parallelised completely generally complex function finish quickly returning sequential execution amdahl law come affect describing even everything parallelised fundamental limit scaling ever achievememory bandwidth issuesthroughout program several kind operation performed array transformation physical spectral common involving calling fourier transform function swapping ax many operation simple addition subtraction multiplication array sometimes including constant result simple operation performed large amount data believe resulting memory bandwidth bottleneck hypothesis explains simd improve performance performance significantly improved parallelisation take several cycle perform floating point add mul instruction even ten gigabyte per second memory bandwidth insufficient keep cpu fed performing operation instruction improve performance even though operation may performed several float simultaneously limit still quickly may read memory slightly complicated multithreaded context improvement performance perhaps due multiple thread able increase amount data read memory program also cacheunfriendly reading large amount data perform simple fast operation reading new data several gigabyte size even individual layer even close able reside ondie cache unsure might collect proof hypothesis believe explains great deal behaviour witnessed throughout projectgpu unsuitabilitythere also hope beginning project gpus could used two main reason unsuitablefirstly gpus large amount vram simply available edit wrong commercial gaming workstation gpus get large plenty datacentre option like radeon pro ssg really interesting product memory bandwidth ssd storage entirely insufficientthe second reason issue nature problem gpus excellent surprisingly computation similar graphic rendering applying transformation many piece data shallowwater several fft routine hot path read write individual element array performant executed gpu edit yeah wrong said told fft routine slightly modified general fft library would workbenchmark analysisi benchmarked two version varying input size plotted result shown graph input element rust version faster outside overtaken fortran versioni guessing fortran faster small input due threading overhead faster large input contention thread cache line memory bandwidthconclusioni made decision rewrite rust even though rewriting legacy code rarely good idea basis compile time safety check would save time extensive library ecosystem would make testing implementing gpu acceleration user interface improvement much easier faster several occasion compiler saved would vast amount debugging preventing writing threadunsafe code initially believed safeunfortunately assumption take account problem may parallel amenable gpu acceleration initially believed project assigned overall pleased performance improvement achieved despite
3,Lobsters,fortran,Fortran programming,"Map, Filter, Reduce in Fortran 2018",https://milancurcic.com/2019/05/22/map-filter-reduce-in-fortran-2018.html,map filter reduce fortran,medium turing award lecture map functionalfortran filter gnu fortran documentation pack pack pack array array rank one reduce argued reduce fortran reduce opencoarrays implementing reduce function summary map filter functionalfortran reduce functionalfortran reference nik shuliahin,also medium purely functional language fortran allows programmer express functionally john backus original creator fortran ibm argued functional programming turing award lecture map filter reduce core tool functional programmer allow solve problem chaining recursive function instead piling doloops ifblocks one top another map applies function elementwise arbitrary array filter applies function array return element meet criterion defined function reduce often also called fold applies reduction operation array return scalar result fortran offer almost outofthebox support map filter reduce pattern article explains map let start map higherorder function applies function f element array x return resulting array given function f array x typical syntax map f x expression return array size x first look fortran anything like map standard library however fortran similar functionality built language since fortran standard elemental procedure elemental procedure allow define procedure operate scalar array time minimal though terribly useful example pure elemental real function square x real intent x square x end function square square return however elemental attribute make function surprisingly powerful without modification code apply square array square return apply square array rank fortran support array never used dimension sure application domain make good use manydimensional array however elemental originally came restriction make procedure elemental recursive wanted apply recursive function array resort doloop made map available part functionalfortran say recursive function ubiquitous textbook example fibonacci function pure recursive integer function fibonacci n result fib integer intent n n fib else n fib else fib fibonacci fibonacci end end function fibonacci prior fortran specify attribute recursive function used recursively however tried make function recursive elemental get scolded compiler soon enough output gfortran pure elemental recursive integer function fibonacci n result fib error elemental attribute conflict recursive attribute humanreadable rendering update fortran standard john reid writes restriction elemental recursion intended make elemental procedure easier implement optimise recursion become normal needed mean fortran finally drop restriction recursive procedure also elemental however compile program iso standard compiler developer implement feature still resort homecooked map pure function map f x procedure fint f mapping function integer intent x input array integer map size x map f x size x end function map whole function loop element x apply function f wrapped array comprehension result array map socalled automatic array assumes size x default allocated stack work though still need define interface procedure f interface pure integer function fint x integer intent x end function fint end interface recursive function want apply fibonacci map use advertised example map fibonacci yield result get fibonacci number say map fibonacci n n map function element array else would filter result filter filter asks function return logical fortran word boolean true false given input value common example function used demonstrate filtering number even odd pure logical function even n integer intent n mod n even true else even false end end function even let define higherorder filter function get even number array integer filter even x like map filter constructed existing fortran building block since fortran function pack standard library gnu fortran documentation pack read pack pack array array rank one description store element array array rank one sound like meant unroll flatten come numpy world multidimensional array onedimensional array keep reading though beginning resulting array made element whose mask equal true afterwards position filled element taken vector ok element syntax pack namely argument mask optional vector understand need look complete syntax pack result pack array mask vector square bracket indicate optional syntax doc go describe argument array shall array type mask shall array type logical size array alternatively may logical scalar vector optional shall array type array rank one present number element vector shall equal greater number true element mask mask scalar number element vector shall equal greater number element array turn pack thing filter except instead filtering function pas logical array say element original input array return great mean filter could defined syntacticsugar kind wrapper around pack pure function filter f x procedure fintlogical f int logical function integer intent x input array integer allocatable filter integer filter pack x f x size x end function filter declare filter allocatable array since know size ahead time however need allocate explicitly use automatic allocation assignment neat feature fortran note allocatable array result allocated heap likely cause performance hit relative automatic array typically go stack use procedure fintlogical input argument need define interface first interface body interface pure logical function fintlogical x integer intent x end function fintlogical end interface covered map filter combine map recursive function element array filter result applying filtering function result filter even map fibonacci n n snippet take integer array x computes fibonacci number element filter even number lot yield result reduce mapped function input array filtered result last step apply reduction operation array get scalar result reduction folding recursively applies binary operation element array order exhaust array reach final scalar result common example fortran function perform reduction array sum product minval maxval admittedly reduction tad difficult get head around compared map filter guido van rossum argued reduce python difficult reason reduction unless operation extremely simple one addition multiplication case argued including sum product function standard library whereas reduction complex would clearly expressed list comprehension reduce code totally try see like let see use fortran today fortran reduce fortunately functional fortranners fortran brings new reduction intrinsic fortran word builtin standard library function reduce two form function reid reduce array operation mask identity ordered reduce array operation dim mask identity ordered input array type rank second argument pure function two argument result type array form used dim indicates one dimension along perform reduction result array rank reduced one relative input array mask logical array filter input array much like builtin function pack identity fallback value result take input sequence empty finally ordered true reduction applied lefttoright otherwise compiler assume operation commutative evaluate reduction optimal way find builtin reduce function look quite useful flexible however recent addition language may stable release gfortran support need roll implementation note parallel reduction coreduce supported ready use gfortran opencoarrays work well practice implementing reduce function let implement custom reduce highorder function allow u following result reduce add filter even map fibonacci x add function add two integer scalar first argument function use reduction operation second argument input array third argument starting value get bit single line compute sum even fibonacci number reduce applies binary function operator element array recursively code lefttoright reduction socalled leftfold pure recursive integer function reduce f x start result re procedure f integer intent x start size x re start else re reduce f x f start x end end function reduce interface function take two integer return integer result pure integer function x integer intent x end function start starting value use applying reduction first element x also value result input array empty intrinsic function sum could written reduce add x product function could written reduce mul x note start argument made optional python functoolsreduce example alternatively also apply reduction array element righttoleft also called rightfold pure recursive integer function reduceright f x start result re procedure f integer intent x start size x re start else re f x reduceright f x start end end function reduceright left versus rightfold defines associativity operation f example leftfold evaluate sum whereas rightfold evaluate order irrelevant particular case matter reduction floatingpoint array applying noncommutative function put piece together write integer allocatable x x n n print reduce add filter even map fibonacci x result another example common reduction operation fortran programmer often us intrinsics test value boolean array true respectively think context reduce could written reduce x false reduce x true respectively get creative cool stuff reverse sort array finally use production paper universality recursive reduction graham hutton wrote program written using fold le readable program written using explicit recursion constructed systematic manner better suited transformation proof thus using recursive reduction likely lead expressive cleaner code composition small building block also le readable difficult reason merely due recursive iterative try recurse head easy functional pattern recursion general may come performance hit fortran simply due fact pattern used much legacy fortran historically ranked highly priority list compiler developer usual recommendation hold use pattern intuitive point writing smart code understand look year later profile code using functional pattern production may le computationally efficient imperative implementation may vary wildly compiler vendor summary although immediately obvious fortran provides almost complete outofthebox support mapfilterreduce pattern map use elemental function defined scalar operate elementwise array rank prior fortran restriction elemental function recursive restriction lifted think good reason cook implementation map write function elemental write language map f x fortran f x beauty filter use builtin function pack together array comprehension eg pack x f x size x use filter function functionalfortran library array comprehension verbose reduce fortran brings reduce serial coreduce parallel standard library compiler support reduce use custom implementation reduce article use one fold implementation functionalfortran reference cover photo nik shuliahin
4,Lobsters,fortran,Fortran programming,Fortran Programming Language,https://fortran-lang.org/,fortran programming language,join u mailing list mailing list discourse fortranlang discourse twitter r feed r feed open source github,join u mailing list subscribe mailing list discus anything fortran related announce fortran project discus development core fortranlangorg project stdlib fpm get latest news discourse join discussion thing fortran fortranlang discourse twitter r feed r client follow r feed open source contribute code report bug request feature github
5,Lobsters,fortran,Fortran programming,"Comparison of some programming languages implementing ""Open-Ended Dice Rolls"" (O6)",https://github.com/isene/O6,comparison programming language implementing openended dice roll,amar rpg wbsite julia thread popped,openended roll implemented various programming language work like roll sixsided dice roll roll dice rolled add original roll making roll dice adding original roll roll original roll roll dice subtracting original roll keep rolling subtracting end rolling two consequtive indicates fumble two consequtive indicates critical roll limit result get open ended dice roll including negative result see amar rpg wbsite original code far seems forth compact code vimscript fortran verbose julia nim perhaps humanly readable although prefer program ruby focal julia thread popped lot attack angle really clever julia code took one included far coolest seen implementation
6,Lobsters,fortran,Fortran programming,fortran-lang/stdlib - Fortran Standard Library,https://github.com/fortran-lang/stdlib,fortranlangstdlib fortran standard library,fortran standard library goal motivation http workflow started workflow scope getting started get code requirement http githubcomaradifypp build cmake build make documentation http stdlibfortranlangorg ford spec wiki contributing link,fortran standard library goal motivation fortran standard published iso http standard library goal project provide community driven agreed upon de facto standard library fortran called fortran standard library stdlib rigorous process stdlib developed documented workflow stdlib specification reference implementation cooperating fortran standard committee eg effort started committee repository plan continue working committee future step workflow document committee want standardize feature already available stdlib would base stdlib implementation scope goal fortran standard library achieve following general scope utility container string file osenvironment integration unit testing assertion logging algorithm searching sorting merging mathematics linear algebra sparse matrix special function fast fourier transform random number statistic ordinary differential equation numerical integration optimization getting started get code git clone http githubcomfortranlangstdlib cd stdlib requirement preprocessor fypp http githubcomaradifypp needed metaprogramming used installed using command line installer pip build cmake cmake b build cmake build build cmake build build target test build make alternatively build using provided makefiles make f makefilemanual documentation documentation work progress see issue currently available http stdlibfortranlangorg includes api documentation automatically generated static analysis markup comment source file using ford tool well specification document spec proposed feature discussion prototype proposed apis along list popular open source fortran project available wiki contributing link
7,Lobsters,fortran,Fortran programming,Running for WG5 Convenor Announcement,https://ondrejcertik.com/blog/2020/04/running-for-wg5-convenor-announcement/,running convenor announcement,platform cv repository,running convenor announcement april decided run convenor international fortran committee chair written platform document explains running issue see propose work committee address see also cv developed platform many fortran community member inside outside fortran committee furthermore also posted platform github repository encourage anyone open issue pull request pr discus refine platform platform detail would convenor selected main goal focus original mission fortran still mission today enable scientist engineer domain expert write program naturally express mathematics algorithm employed portable across hpc system remain viable decade use extract high percentage performance underlying hardware achieve mission committee increase engagement fortran user national lab academia industry elsewhere understand underlying reason many effort moving away fortran address fully expeditiously common feedback hear fortran user want code run modern hardware outlined always fortran mission unfortunately mission currently falling short example fortran currently clear path forward fully leverage gpus part hpc system today personally seen several project moving away fortran reason another example relative lack library ecosystem developer tool around fortran compared modern language order start delivering mission need substantially improve compiler tooling around fortran need work wider user community deliver usedrequested capability given background largescale scientific application software development tooling believe bring user perspective committee hope opportunity convenor make reality working committee implement item platform cultivating climate openness listening cooperation accomplish common goal facilitating collaboration wider fortran community lay groundwork address major challenge gpu support u addressed fully expeditiously efficient productive collaboration fortran user compiler vendor committee
8,Lobsters,fortran,Fortran programming,Flang upstreamed (previously called F18),https://github.com/llvm/llvm-project/tree/master/flang,flang upstreamed previously called,flang http http githubcomflangcompilerflang getting started doc directory compiler overview fortran c programmer fortran grammar openmp grammar document discussion intrinsics runtime descriptor style guide flang us modern c feature markdown style guide llvm supported c compiler building flang tree llvm dependency http llvmorgdocsgettingstartedhtml building flang gcc building flang clang installation directory build type build flang tree run test http wwwllvmorgdocstestingguidehtml regressiontests http wwwllvmorgdocstestingguidehtml unittests tree build tree build generate documentation generate fir documentation generate doxygenbased documentation generate sphinxbased documentation http sphinxdocorg,flang flang groundup implementation fortran front end written modern c started project http aim replace previous flang project http githubcomflangcompilerflang address various deficiency subsequently accepted llvm project rechristened flang getting started read flang doc directory start compiler overview better understand fortran language specific grammar accepted flang read fortran c programmer flang specification fortran grammar openmp grammar treatment language extension covered document understand compiler handling intrinsics see discussion intrinsics understand flang program communicates library runtime see discussion runtime descriptor interested contributing compiler read style guide also review flang us modern c feature interested writing new documentation follow markdown style guide llvm supported c compiler flang written code compiled tested gcc version code compiled tested clang version using either gnu libstdc llvm libc code compiled server rhel macos mojave xcode apple clang version code compile window compiler support building flang tree instruction building flang separately llvm building flang alongside llvm follow standard llvm build instruction add flang llvmenableprojects instead detailed llvm dependency instruction build llvm found http llvmorgdocsgettingstartedhtml building flang part llvm follow instruction add flang llvmenableprojects highly recommend using compiler compile llvm flang flang cmakelisttxt file us variable llvmdir find installed llvm component variable mlirdir find installed mlir component get correct llvm mlir library included flang build define llvmdir mlirdir cmake command line llvm llvmbuilddir libcmakellvm mlir llvmbuilddir libcmakemlir cmake dllvmdir llvm dmlirdir mlir llvmbuilddir toplevel directory llvm built building flang gcc default cmake search g path g version must one supported version order build flang cmake use variable cxx find c compiler cxx include full path compiler name found path eg assuming path export cmake building flang clang build flang clang cmake need know find clang gcc library tool used build clang cxx include full path clang clang found path export cxxclang installation directory specify custom install location add dcmakeinstallprefix installprefix cmake command installprefix path flang installed build type create debug build add dcmakebuildtypedebug cmake command debug build execute slowly create release build add dcmakebuildtyperelease cmake command release build execute quickly build flang tree cd flangbuild cmake dllvmdir llvm dmlirdir mlir flangsrc make run test flang support different category test regression test http wwwllvmorgdocstestingguidehtml regressiontests unit test http wwwllvmorgdocstestingguidehtml unittests tree build run test cd flangbuild cmake dllvmdir llvm dmlirdir mlir flangsrc make test checkall run individual regression test llvmlit need know lit configuration flang parameter charge flangsiteconfig flangconfig set shown bellow pathtollvmlit llvmlit param flangsiteconfig pathtoflangbuild testlitlitsitecfgpy param flangconfig pathtoflangbuild testlitlitcfgpy pathtofortrantest unit test flang built dflangincludetestson default possible generate unittests note unittests skipped llvm install outoftree build include googletest related header library various way run unittests make checkflangunit make checkall make checkflang pathtollvmlit llvmlit testunit invoking test outoftree flang build unittests respective unit test folder tree build flang built dflangincludetestson default possible generate unittests run flang unit test use checkflangunit target make checkflangunit run flang regression test use checkflang target make checkflang generate documentation generate fir documentation flang built dlinkwithfiron default possible generate fir language documentation running make flangdoc create docsdialectfirlangrefmd flang build directory generate doxygenbased documentation generate doxygenstyle documentation source code pas dllvmenabledoxygenon dflangincludedocson cmake command cd llvmprojectbuild cmake dllvmenabledoxygenon dflangincludedocson llvm make doxygenflang generate html builddir toolsflangdocsdoxygenhtml flang doc generate sphinxbased documentation flang documentation preferably written markdown md syntax restructuredtext rst format well markdown recommended first place mostly meant processed sphinx documentation generation system create html page would hosted webpage flang updated periodically would like generate view html locally install sphinx http sphinxdocorg pas dllvmenablesphinxon dsphinxwarningsaserrorsoff cmake command cd llvmprojectbuild cmake dllvmenablesphinxon dsphinxwarningsaserrorsoff llvm make docsflanghtml generate html browser builddir toolsflangdocshtml
10,Lobsters,fortran,Fortran programming,Finite element software for numerical solution of partial differential equations,https://github.com/ElmerCSC/elmerfem,finite element software numerical solution partial differential equation,join github today sign file permalink elmer fem download binary documentation compiling macos http githubcomelmercscelmerfemgit ubuntu licencing social computational glaciology elmerice topic resource reload reload,official git repository elmer fem software dismiss join github today github home million developer working together host review code manage project build software together sign file permalink failed load latest commit information type name latest commit message commit time elmer fem official source code repository elmer fem software suite elmer finite element software numerical solution partial differential equation elmer capable handling number equation therefore ideally suited simulation multiphysical problem includes model example structural mechanic fluid dynamic heat transfer electromagnetics user also write equation dynamically linked main program elmer consists several part important one elmersolver finite element solver elmergui graphical user interface elmergrid mesh creation manipulation tool also visualization tool elmerpost included package longer developed download binary may download binary virtual machine documentation may find pdfs documentation compiling macos download repository either az zip file via github using git clone http githubcomelmercscelmerfemgit go downloaded directory mkdir build cd build install homebrew install gnu gcc brew install gcc install cmake brew install cmake without mpi elmergui install brew install install qwt brew install cmake withopenmp booleantrue withmpi booleantrue withelmergui booleantrue elmerpost make make install ubuntu install dependency sudo apt install git cmake buildessential fortran libopenmpidev libblasdev liblapackdev without mpi elmergui make sudo make install executable usrlocalbin folder may add path licencing elmer software licensed gpl except elmersolver library licensed lgpl license elmer mainly developed csc center science finland however numerous contribution organization developer well project open new contribution information elmer licensing social follow elmerfem twitter ask question reddit computational glaciology elmerice official git repository elmer fem software topic resource perform action time signed another tab window reload refresh session signed another tab window reload refresh session
11,Lobsters,fortran,Fortran programming,FORTRAN.io,https://fortran.io/,fortranio,history,history fortran foundational language use today fortran never left u run mainframe today ash ash dust dust fortran javascript back fortran
