ID,Topic,Title,Content
1,Computer Science,practical approach social learning,model social learning feature either binary signal abstract signal structure often deprived microfoundations model limited analyzing interim result performing empirical analysis present method generating signal structure richer binary model yet tractable enough perform simulation empirical analysis demonstrate method usability revisiting two classical paper discus economic significance unbounded signal smith sorensen use experimental data anderson holt perform econometric analysis additionally provide necessary sufficient condition occurrence action cascade
2,Computer Science,revealed price preference theory empirical analysis,aim determining welfare implication price change consumption data introduce revealed preference relation price show absence cycle preference relation characterizes model demand consumer tradeoff utility consumption disutility expenditure model appropriate whenever consumer demand em strict subset available good analyzed random utility extension model devise nonparametric statistical procedure testing welfare comparison latter requires development novel test linear hypothesis partially identified parameter provide new algorithm calculation statistical inference nonparametric counterfactual analysis general partially identified model application national household expenditure data provide support model yield informative bound concerning welfare ranking across different price
3,Computer Science,prudent casebased prediction experience lacking,inexperienced predictor asked qualitatively rank eventuality according plausibility given past case inexperience mean resampling past case replacement fails generate suitably diverse set ranking requires strict ranking four eventuality arises sample along essential consistency requirement yield matrix representation may viewed empirical likelihood function gilboa schmeidler impose derive similar representation provided predictor prudent enough ensure arrival novel case force dogmatic intransitive revising existing ranking build establish formal tradeoff inexperience cognitive computational cost abstract resampling
4,Computer Science,identifying presentbias timing choice,timing decision common file tax finish referee report complete task work ask whether time preference inferred textsl task completion observed answer question analyze following model period decision maker face choice whether complete task today postpone later cost benefit task completion directly observed analyst analyst know net benefit drawn independently period timeinvariant distribution agent timeseparable utility furthermore suppose analyst observe agent exact stopping probability establish agent quasihyperbolic beta delta preference given level partial naivete hat beta probability completing task conditional done earlier increase towards deadline conversely given preference parameter beta delta weakly increasing profile task completion probability exists stationary payoff distribution rationalizes behavior long agent either sophisticated fully naive immediate corollary without parametric assumption impossible rule timeconsistency even imposing priori assumption permissible longrun discount factor also provide exact partial identification result analyst addition stopping probability observe agent continuation value
5,Computer Science,income fluctuation problem evolution wealth,analyze household saving problem general setting return asset nonfinancial income impatience state dependent fluctuate time three process serially correlated mutually dependent reward bounded unbounded wealth arbitrarily large extending classic result earlier literature determine condition solution exist unique globally computable b resulting wealth dynamic stationary ergodic geometrically mixing c wealth distribution pareto tail show result used extend recent study wealth distribution condition natural economic interpretation term asymptotic growth rate discounting return saving
6,Computer Science,theory weak revealed preference,offer rationalization weak generalized axiom revealed preference wgarp finite infinite data set consumer choice call maximin rationalization pairwise choice associated local utility function develop associated weak revealedpreference theory show preference recoverability welfare analysis la varian may informative enough weak axiom hold consumer utility maximizers clarify reason failure provide new informative bound consumer true preference
7,Computer Science,discrete choice welfare analysis unobserved choice set,propose framework sharp nonparametric welfare analysis discrete choice model unobserved variation choice set recover jointly distribution choice set distribution preference achieve use panel data choice assume nestedness latent choice set nestedness mean choice set different decision maker ordered inclusion satisfied instance choice set variation result either search process unobserved feasibility using variation uncovered choice set show ordinal nonparametric welfare comparison one willing make additional assumption preference show nonparametrically identify ranking average utility standard multinomial choice setting
8,Computer Science,testing driftdiffusion model,drift diffusion model ddm model sequential sampling diffusion brownian signal decision maker accumulates evidence process hit stopping boundary stop chooses alternative corresponds boundary model widely used psychology neuroeconomics neuroscience explain observed pattern choice response time range binary choice decision problem paper provides statistical test ddm general boundary first prove characterization theorem find condition choice probability satisfied choice probability generated ddm moreover show drift boundary uniquely identified use condition nonparametrically estimate drift boundary construct test statistic
9,Computer Science,recovering preference finite data,study preference recovered finite choice experiment provide sufficient condition convergence unique underlying true preference condition weak therefore valid wide range economic environment develop application expected utility theory choice consumption bundle menu choice intertemporal consumption framework unifies revealed preference tradition model allow error
10,Computer Science,discerning solution concept,empirical analysis discrete completeinformation game relied behavioral restriction form solution concept nash equilibrium choosing right solution concept crucial identification payoff parameter also validity informativeness counterfactual exercise policy implication say solution concept discernible possible determine whether generated observed data player behavior covariates propose set condition make possible discern solution concept particular condition sufficient tell whether player choice emerged nash equilibrium also discern rationalizable behavior maxmin behavior collusive behavior finally identify correlation structure unobserved shock model using novel approach
