Topic,Title,Content
Biology,genomescale reconstruction metabolic network yersinia pestis strain,gramnegative bacterium yersinia pestis aetiological agent bubonic plague one deadliest pathogen known man despite historical reputation plague modern disease annually afflicts thousand people public safety consideration greatly limit clinical experimentation organism thus development theoretical tool analyze capability pathogen utmost importance report first genomescale metabolic model yersinia pestis biovar mediaevalis based recently annotated genome physiological biochemical data literature model demonstrates excellent agreement pestis known metabolic need capability since pestis meiotrophic organism developed cryptfind systematic approach identify candidate cryptic gene responsible known theoretical meiotrophic phenomenon addition uncovering every known cryptic gene pestis analysis rhamnose fermentation pathway suggests betb responsible cryptic gene despite medical advance still vaccine bubonic plague recent discovery antibiotic resistant strain yersinia pestis coupled threat plague used bioterrorism weapon compel u develop new tool studying physiology deadly pathogen using theoretical model study cell phenotypic behavior different circumstance identify metabolic weakness may harnessed development therapeutic additionally automatic identification cryptic gene expands usage genomic data pharmaceutical purpose
Biology,modelling role nitric oxide cerebral autoregulation,malfunction system regulates bloodflow brain major cause stroke dementia costing many life many billion pound year uk alone regulatory system known cerebral autoregulation subject much experimental mathematical investigation yet understanding still quite limited one area understanding particularly lacking role nitric oxide understood potent vasodilator interaction nitric oxide better understood myogenic response remain unmodelled poorly understood thesis present novel model arteriolar control mechanism comprising mixture wellestablished new model individual process brought together first time show model capable reproducing experimentally observed behaviour closely go investigate stability context vasculature whole brain conclusion find nitric oxide although play central role determining equilibrium vessel radius unimportant dynamic system response variation arterial blood pressure also find stability system sensitive dynamic ca within muscle cell selfsustaining ca wave necessary cause wholevessel radius oscillation consistent vasomotion
Biology,new approach synthetic biology abiotic organelle artificial cell powered controlled light,one major goal nanobionics bottomup synthetic biology development artificial cell organelle creation celllike structure operating similar biological system minimalistic set building block present contribution versatile strategy develop artificial reaction center novel photoautotrophic process provide fully biocompatible synthetic enzyme counterpart stepwise sustrate photoconversion abiotic organelle summarized unique approach potential create artificial celllike system readily manipulated light providing energy input fundamental regulatory function
Biology,fundamentally different strategy transcriptional regulation revealed informationtheoretical analysis binding motif,regulate particular gene transcription factor tf need bind specific genome location genome address specified amid presence decoy site analysis known tf binding motif clearly demonstrates prokaryote eukaryote use strikingly different strategy target tfs specific genome location eukaryotic tfs exhibit widespread nonfunctional binding require clustering site regulatory region specificity
Biology,prediction cellular burden hostcircuit model,heterologous gene expression draw resource host cell resource include vital component sustain growth replication resulting cellular burden widely recognised bottleneck design robust circuit tutorial discus use computational model integrate gene circuit physiology host cell various use case illustrate power hostcircuit model predict impact design parameter burden circuit functionality approach relies new generation computational model microbial growth flexibly accommodate resource bottleneck encountered gene circuit design adoption modelling paradigm facilitate fast robust design cycle synthetic biology
Biology,lipidomic approach stratification acute myeloid leukemia patient,pathogenesis progression many tumor including hematologic malignancy highly dependent enhanced lipogenesis de novo fattyacid synthesis permit accelerated proliferation tumor cell providing structural component build membrane may also lead alteration physicochemical property formed membrane impact signaling even increase resistance drug cancer cell cancer typespecific lipid profile would allow understanding actual effect lipid change therefore could potentially serve fingerprint individual tumor explored diagnostic marker used shotgun m approach identify lipid pattern different type acute myeloid leukemia aml patient either show karyotype change belong type observed difference lipidomes inv patient compared aml patient without karyotype change concentrate mostly substantial modulation ceramidessphingolipids synthesis also significant change physicochemical property membrane patient noted related marked alteration saturation level lipid revealed difference lipid profile various aml type increase understanding affected biochemical pathway potentially serve diagnostic tool
Biology,differential stoichiometry among core ribosomal protein,understanding regulation structure ribosome essential understanding protein synthesis deregulation disease ribosome believed fixed stoichiometry among core ribosomal protein rps experiment suggest variable composition testing variability requires direct precise quantification rps used massspectrometry directly quantify rps across monosomes polysomes mouse embryonic stem cell esc budding yeast data show stoichiometry among core rps wildtype yeast cell esc depends growth condition number ribosome bound per mrna furthermore find fitness cell deleted rpgene inversely proportional enrichment corresponding rp polysomes together finding support existence ribosome distinct protein composition physiological function
Biology,florigenic antiflorigenic signalling plant,evidence flowering locus ft protein paralog twin sister ft act long distance floral stimulus least part diverse plant specie attracted much attention recent year study understand physiological molecular apparatus integrate spatial temporal signal regulate developmental transition plant occupied countless scientist resulted unmanageably large amount research data analysis data helped identify multiple systemic florigenic antiflorigenic regulator study give overview recent research gene product phytohormone metabolite demonstrated florigenic antiflorigenic function plant
Biology,starch metabolism antiflorigenic signal modulate juveniletoadult phase transition arabidopsis,physiology genetics underlying juvenility poorly understood exploit arabidopsis system understand mechanism regulate floral incompetence juvenility using experimental assay allows length juvenility estimated mutant impaired different pathway show multiple input influence juvenility juvenile phase length wild type wt accession shown differ shortest longest length plant defective sugar signalling floral repressor mutant showed shortened juvenile phase length compared respective wts mutant defective starch anabolism catabolism showed prolonged juvenile phase length compared examination diurnal metabolite change mutant indicates altered juvenile phase length may due lack starch turnover influence carbohydrate availability article propose model variety signal including floral activator repressor modulate juveniletoadult phase transition role carbohydrate may capacity nutrient osmotic regulator signalling molecule interaction phytohormonal network
Biology,role crosstalk hub notchwnt interaction intestinal crypt,notch pathway play vital role determining whether cell intestinal epithelium adopt secretory absorptive phenotype cell fate specification coordinated via notch interaction canonical wnt pathway propose new mathematical model notch wnt pathway promoter act hub pathway crosstalk computational simulation model assist understanding healthy intestinal tissue maintained predict likely consequence biochemical knockout upon cell fate selection process chemical reaction network theory crnt powerful generalised framework ass capacity model monostability multistability analysing property underlying network structure without recourse specific parameter value functional form reaction rate crnt highlight role betacatenin stabilising notch pathway damping oscillation demonstrating wntmediated action promoter induce dynamical transition notch system multistability monostability timedependent model simulation cell pair reveal stabilising influence wnt upon notch pathway betacatenin dshmediated action promoter key shaping subcellular dynamic notchmediated transcription dominates notch oscillation maintenance fate flexibility wntmediated transcription favour bistability akin cell fate selection cell could therefore regulate proportion wnt notchmediated control promoter coordinate timing cell fate selection migrate intestinal epithelium subject reduced wnt stimulus
Biology,digital clock simple boolean model quantitatively describe circadian system,gene network comprise circadian clock modulate biological function across range scale gene expression performance adaptive behaviour clock function generating endogenous rhythm entrained external day night cycle enabling organism optimally time biochemical process relative dawn dusk recent year computational model based differential equation become useful tool dissecting quantifying complex regulatory relationship underlying clock oscillatory dynamic however optimizing large parameter set characteristic model place intense demand computational experimental resource limiting scope silico study develop approach based boolean logic dramatically reduces parametrization making state parameter space finite tractable introduce efficient method fitting boolean model molecular data successfully demonstrating application synthetic time course generated number established clock model well experimental expression level measured using luciferase imaging result indicate despite relative simplicity logic model simulate circadian oscillation correct experimentally observed phase relationship among gene ii flexibly entrain light stimulus reproducing complex response variation daylength generated detailed differential equation formulation work also demonstrates logic model sufficient predictive power identify optimal regulatory structure experimental data presenting first boolean model circadian circuit together general technique optimization hope establish new framework systematic modelling complex clock
Biology,multiscale multiresolution brain cancer modeling,advancing discretebased computational cancer model towards clinical application one face dilemma deal ever growing amount biomedical data ought incorporated eventually one form another model scalability becomes paramount interest effort start addressing critical issue present novel multiscale multiresolution agentbased silico glioma model multiscale refers employing epidermal growth factor receptor egfr driven molecular network process cellular phenotypic decision within micromacroscopic environment multiresolution achieved algorithm classify cell either active inactive spatial cluster determine resolution simulated aim assign computational resource matter maintaining improving predictive power algorithm onto specific tumor area particular time using previously described brain tumor model developed four different computational method achieving multiresolution scheme three designed dynamically train highresolution simulation serf control quantify algorithm performance rank weighing distinct computational time saving simulation run versus method ability accurately reproduce highresolution result control finally demonstrate flexibility underlying concept show added value combining two highestranked method
Biology,cancer cell motility optimizing spatial search strategy,aberrantly regulated cell motility hallmark cancer cell hybrid agentbased model developed investigate synergistic antagonistic cell motilityimpacting effect three microenvironment variable simultaneously chemoattraction haptotactic permission biomechanical constraint resistance reflecting distinct cellspecific intracellular machinery cancer cell modelled processing variety spatial search strategy respond three influencing factor differential weight attached responding exclusively chemoattraction optimizes cell displacement effectiveness incorporating permission resistance component becomes increasingly important greater distance chemoattractant source andor reducing ligand effective diffusion coefficient extending heterogeneous population cell show displacement effectiveness increase clonal diversity characterized shannon index however resulting data fit best exponential function suggesting level population heterogeneity beyond added value cancer system becomes minimal directionality cease increase possible experimental extension potential clinical implication discussed
