Topic,Title,Content
Statistics,kernsmoothirt r package kernel smoothing item response theory,item response theory irt model class statistical model used describe response behavior individual set item certain number option adopted researcher social science particularly analysis performance attitudinal data psychology education medicine marketing field aim measure latent construct irt analysis use parametric model rely assumption often satisfied case nonparametric approach might preferable nevertheless many software application allowing use address gap paper present r package kernsmoothirt implement kernel smoothing estimation option characteristic curve add several plotting analytical tool evaluate whole testquestionnaire item subject order show package capability two real datasets used one employing multiplechoice response scaled response
Statistics,dbkgrad r package mortality rate graduation fixed adaptive discrete beta kernel technique,kernel smoothing represents useful approach graduation mortality rate though exist several option performing kernel smoothing statistical software package contribution date focused application technique graduation context also although shown use variable adaptive smoothing parameter based information provided exposed risk death provides additional benefit specific computational tool approach essentially absent furthermore little attention given providing method available software kind subsequent analysis respect graduated mortality rate facilitate analysis field r package dbkgrad introduced among available kernel approach considers recent discrete beta kernel estimator fixed adaptive variant approach boundary bias automatically reduced age pragmatically considered discrete variable bandwidth fixed adaptive allowed manually given user selected crossvalidation pointwise confidence interval considered age also provided application mortality rate sicily region italy year also presented exemplify use package
Statistics,expectation maximization framework yulesimon preferential attachment model,paper develop expectation maximization em algorithm estimate parameter yulesimon distribution yulesimon distribution exhibit rich get richer effect whereby type rule tends dominate distribution ubiquitous industrial setting em algorithm presented provides frequentist bayesian estimate lambda parameter placing estimation method within em framework able derive standard error resulting estimate additionally prove convergence yulesimon em algorithm study rate convergence explicit closed form solution rate convergence algorithm given
Statistics,quantile regression qualifying match probabilistic load forecasting,present simple quantile regressionbased forecasting method applied probabilistic load forecasting framework global energy forecasting competition hourly load data log transformed split longterm trend component remainder term key forecasting element quantile regression approach remainder term take account weekly annual seasonalities interaction temperature information used stabilize forecast longterm trend component public holiday information ignored still forecasting method placed second open data track fourth definite data track forecasting method remarkable given simplicity model method also outperforms vanilla benchmark consistently
Statistics,forecasting wind power modeling periodic nonlinear effect conditional heteroscedasticity,article present approach enables joint wind speed wind power forecast wind park combine multivariate seasonal time varying threshold autoregressive moving average tvarma model power threshold generalized autoregressive conditional heteroscedastic powertgarch model modeling framework incorporates diurnal annual periodicity modeling periodic bsplines conditional heteroscedasticity complex autoregressive structure nonlinear impact contrast usually timeconsuming estimation approach likelihood estimation apply highdimensional shrinkage technique utilize iteratively reweighted least absolute shrinkage selection operator lasso technique allows conditional heteroscedasticity provides fast computing time guarantee parsimonious regularized specification even though parameter space may vast able show approach provides accurate forecast wind power turbinespecific level forecasting horizon h short mediumterm forecast
Statistics,simulator engine streamline simulation,simulator r package streamlines process performing simulation creating common infrastructure easily used reused across project methodological statistician routinely write simulation compare method preexisting one developing idea temptation write quick dirty simulation try idea approach rapid prototyping useful sometimes backfire bug introduced using simulator allows one remove dirty without sacrificing quick coding quick statistician focus exclusively aspect simulation specific particular paper written code written simulator succinct highly readable easily shared others modular nature simulation written simulator promotes code reusability save time facilitates reproducibility syntax simulator lead simulation code easily humanreadable benefit using simulator include ability step simulation change one aspect without rerun entire simulation scratch straightforward integration parallel computing simulation ability rapidly generate plot table report minimal effort
Statistics,bayesian hierarchical modelling inferring genetic interaction yeast,identifying genetic interaction given microorganism yeast difficult quantitative fitness analysis qfa highthroughput experimental computational methodology quantifying fitness microbial culture qfa used compare fitness observation different genotype thereby infer genetic interaction strength current naive frequentist statistical approach used qfa model betweengenotype variation difference genotype variation different condition thesis bayesian approach introduced evaluate hierarchical model better reflect structure design qfa experiment first twostage approach presented hierarchical logistic model fitted microbial culture growth curve hierarchical interaction model fitted fitness summary inferred genotype next onestage bayesian approach presented joint hierarchical model require univariate summary fitness used pas information model new hierarchical approach compared using dataset examining effect telomere defect yeast better describing experimental structure new evidence found gene complex interact telomere cap various extension model including model data transformation batch effect intrinsically stochastic growth model also considered
Statistics,exponential increase test power ztest chisquare test auxiliary information,main goal article study auxiliary information used improve power two famous statistical test z test chisquare test information nature probability set partition expectation function even required exact information given estimate based larger sample example definition auxiliary information found statistical literature recalled article notion auxiliary information discussed general point view two statistical test modified auxiliary information taken account one show particular power test increased exponentially statistical example treated show concreteness method
Statistics,parameterization copula covariance decay stochastic process application,work study problem constructing stochastic process predetermined covariance decay parameterizing marginals given family copula present several example illustrate theory including important gaussian euclidean family copula associate theory common applied time series model present general methodology estimate given parameter interest identifiable process covariance decay exemplify proposed methodology present simple monte carlo application parameter estimation time series methodology also applied u stock market index
Statistics,generalized fellegisunter framework multiple record linkage application homicide record system,present probabilistic method linking multiple datafiles task trivial absence unique identifier individual recorded common scenario linking census data coverage measurement survey census coverage evaluation general multiple recordsystems need integrated posterior analysis method generalizes fellegisunter theory linking record two datafiles modern implementation multiple record linkage goal classify record ktuples coming k datafiles according different matching pattern method incorporates transitivity agreement computation data used model matching probability use mixture model fit matching probability via maximum likelihood using em algorithm present method decide record ktuples membership subset matching pattern prove optimality apply method integration three colombian homicide record system perform simulation study order explore performance method measurement error different scenario proposed method work well open direction future research
Statistics,multilayer tensor factorization application recommender system,recommender system widely adopted electronic commerce entertainment industry individualized prediction recommendation benefit consumer improve business intelligence article propose innovative method namely recommendation engine multilayers rem tensor recommender system proposed method utilizes structure tensor response integrate information multiple mode creates additional layer nested latent factor accommodate betweensubjects dependency one major advantage proposed method able address coldstart issue absence information new customer new product new context specifically provides effective recommendation subgroup information achieve scalable computation develop new algorithm proposed method incorporates maximum block improvement strategy cyclic blockwisecoordinatedescent algorithm theory investigate algorithmic property global local convergence along asymptotic consistency estimated parameter finally proposed method applied simulation iri marketing data million observation product sale numerical study demonstrate proposed method outperforms existing competitor literature
Statistics,control chart monitoring variance time series,paper derive control chart variance gaussian process using likelihood ratio approach generalized likelihood ratio approach sequential probability ratio method generalized sequential probability ratio procedure shiryaevroberts procedure generalized shiryaevroberts ap proach recursive presentation calculation control statistic given autoregressive process order extensive simulation study scheme compared existing control chart variance order ass performance scheme average run length average delay used
