ID,Topic,Title,Content
1,Finance,meanreverting portfolio design budget constraint,paper considers meanreverting portfolio design problem arising statistical arbitrage financial market first propose general problem formulation aimed finding portfolio underlying component asset optimizing meanreversion criterion characterizing meanreversion strength taking consideration variance portfolio investment budget constraint several specific problem considered based general formulation efficient algorithm proposed numerical result synthetic market data show proposed meanreverting portfolio design method generate consistent profit outperform traditional design method benchmark method literature
2,Finance,visualizing treasury issuance strategy,introduce simple cost risk proxy metric attached treasury issuance strategy complement analysis resulting portfolio weightedaverage maturity wam metric based mapping issuance fraction longterm asymptotic portfolio implication cost risk mechanical debtrolling dynamic resulting mapping enables one visualize tradeoff involved contemplated issuance reallocation identify efficient frontier optimal tenor historical treasury issuance strategy analyzed empirically using cost risk metric illustrate change issuance need strategy translated structural shift cost risk stance treasury issuance
3,Finance,pricing financial derivative subject counterparty risk credit value adjustment,article present generic model pricing financial derivative subject counterparty credit risk unilateral bilateral type credit risk considered study show credit risk modeled american style option case require backward induction valuation correct common mistake literature emphasize market value defaultable derivative actually risky value rather riskfree value credit value adjustment cva also elaborated practical framework developed pricing defaultable derivative calculating cva portfolio level
4,Finance,machine learning portfolio allocation,find economically statistically significant gain using machine learning portfolio allocation market index riskfree asset optimal portfolio rule timevarying expected return volatility implemented two random forest model one model employed forecasting sign probability excess return payout yield second used construct optimized volatility estimate rewardrisk timing machine learning provides substantial improvement buyandhold utility riskadjusted return maximum drawdowns paper present new theoretical basis unifying framework machine learning applied return volatilitytiming
5,Finance,brexit bremain evidence bubble analysis,applied johansenledoitsornette jls model detect possible bubble crash related brexitbremain referendum scheduled june implementation includes enhanced model calibration using genetic algorithm selected historical financial series sensitive brexitbremain scenario representative multiple asset class found equity currency asset class show bubble signal rate credit real estate show superexponential behaviour instability typical bubble regime study suggests jls model equity currency market expect crash sharp rise following referendum result instead rate credit market consider referendum risky event expecting either bremain scenario brexit scenario edulcorated central bank intervention case real estate crash expected relationship referendum result unclear
6,Finance,security lending strategy valuation term loan using option theory,develop model price long term loan security lending business longer horizon deal viewed contract optionality embedded priced using established method derivative theory becoming limited knowledge first application lead greater synergy operation derivative deltaone trading desk perhaps even able combine certain aspect day day operation seemingly disparate entity run numerical simulation demonstrate practical applicability model model part one least explored yet profit laden area modern investment management develop heuristic mitigate loss information set parameter estimated first valuation performed directly calculating valuation using historical time series lead reduced model error greater financial stability illustrate methodology developed could useful inventory management technique could application dealing financial instrument nonfinancial commodity many form uncertainty unintended consequence effort become review vast literature option pricing useful anyone attempt apply corresponding technique problem mentioned admittedly initial ambition produce normative theory long term loan valuation undone present state affair social science modeling though consider many element security lending system face value termed positive theory end producing useful theory work done
7,Finance,diversification preference theory choice,diversification represents idea choosing variety uniformity within theory choice desirability diversification axiomatized preference convex combination choice equivalently ranked corresponds notion risk aversion one assumes vonneumannmorgenstern expected utility model equivalence fails hold model paper study axiomatizations concept diversification relationship related notion risk aversion convex preference within different choice theoretic model implication notion portfolio choice discussed cover modelindependent diversification preference preference within model choice risk including expected utility theory general rankdependent expected utility theory well model choice uncertainty axiomatized via choquet expected utility theory remark interpretation diversification preference within model behavioral choice given conclusion
8,Finance,pricing semimartingale representation vulnerable contingent claim regimeswitching market,using suitable change probability measure obtain novel poisson series representation arbitrage free price process vulnerable contingent claim regimeswitching market driven underlying continuous time markov process result representation along shorttime asymptotic expansion claim price process develop efficient method pricing claim whose payoff may depend full path underlying markov chain proposed approach applied price simple european claim defaultable bond also new type pathdependent claim term selfdecomposable well important class vulnerable call put option stock provide detailed error analysis illustrate accuracy computational complexity method several market traded instrument defaultable bond price barrier option vulnerable call option using poisson series representation show differentiability time predefault price function european vulnerable claim enables u rigorously deduce feynmankac representation predefault pricing function new semimartingale representation price process vulnerable claim riskneutral objective probability measure
9,Finance,efficient xva management pricing hedging attribution using tradelevel regression global conditioning,bank must manage trading book value pricing includes valuation adjustment collectively known xva least credit funding capital tax management must also include xva trading book management focus pricing hedging allocation price hedging cost desk individual trade basis show combine three technical element radically simplify xva management term calculation implementation calculation three technical element tradelevel regression analytic computation sensitivity global conditioning three required obtain radical efficiency gain implementation simplification moreover many calculation inherently parallel suitable gpu implementation resulting methodology xva management sufficiently general cover pricing first secondorder sensitivity exact tradelevel allocation pricing sensitivity within framework managing incremental change portfolio exactly also radically simplified
10,Finance,xva exercise boundary,xva material component trade valuation hence must impact decision exercise option within given netting set true unsecured trade secured cleared trade kva mva play material role even cva fva however effect frequently ignored xva model indeed exercise decision made option owner paper describes xva impact exercise decision readily evaluated using regression technique longstaff schwartz paper ass materiality impact xva exercise boundary swaption example
