ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,clojure,Clojure programming,"An Architecture for Community Contribution, Speed and Modularity",https://jponline.github.io/looset-landing/an-architecture/
2,Lobsters,clojure,Clojure programming,Cognitect Joins Nubank,https://cognitect.com/blog/2020/07/23/Cognitect-Joins-Nubank
3,Lobsters,clojure,Clojure programming,Cursive: The IDE for beautiful Clojure code,https://cursive-ide.com/
4,Lobsters,clojure,Clojure programming,Datalevin is a port of Datascript in-memory Datalog database to Lightning Memory-Mapped Database,https://github.com/juji-io/datalevin
5,Lobsters,clojure,Clojure programming,Building a static website with Babashka,https://www.mxmmz.nl/blog/building-a-website-with-babashka.html
6,Lobsters,clojure,Clojure programming,Comparing compiler construction in Clojure and F#,https://www.youtube.com/watch?v=t8usj1fN9rs
7,Lobsters,clojure,Clojure programming,Serving Findka's recommendations via libpython-clj,https://findka.com/blog/libpython-clj/
8,Lobsters,clojure,Clojure programming,REPL-integrated Clojure-to-Java decompiler,https://github.com/clojure-goes-fast/clj-java-decompiler
9,Lobsters,clojure,Clojure programming,Elliptic Curve Cryptography I,https://btcclj.com/posts-output/2020-06-18-elliptic-curve-cryptography-i/
10,Lobsters,clojure,Clojure programming,Call C from Clojure using GraalVM - then compile a binary using native-image,https://github.com/Saikyun/native-image-clojure-c
11,Lobsters,clojure,Clojure programming,ESP32-Based Board Uses ClojureScript to Explore Building IoT Devices,https://www.hackster.io/news/esp32-based-board-uses-clojurescript-to-explore-building-iot-devices-9c823bbeb011
12,Lobsters,clojure,Clojure programming,nREPL 0.8: Evolving the Protocol,http://metaredux.com/posts/2020/06/15/nrepl-0-8-evolving-the-protocol.html
13,Lobsters,clojure,Clojure programming,Transducers From The Ground Up,https://bsless.github.io/transducers-intro/
14,Lobsters,clojure,Clojure programming,Conversational software development,https://oli.me.uk/conversational-software-development/
15,Lobsters,clojure,Clojure programming,Clojure: a mature alternative to Java,https://github.com/borkdude/clojure-overstapservice/blob/english/Alternatief.md
16,Lobsters,clojure,Clojure programming,"Online Clojure meetup, June 17th",https://www.meetup.com/Helsinki-Clojure-Meetup/events/271100774/
17,Lobsters,clojure,Clojure programming,A History of Clojure,https://clojure.org/about/history
18,Lobsters,clojure,Clojure programming,Simple Ray Casting with ClojureScript,https://andreyorst.gitlab.io/posts/2020-06-04-simple-ray-casting-with-clojurescript/
19,Lobsters,clojure,Clojure programming,REPL Driven Design,http://blog.cleancoder.com/uncle-bob/2020/05/27/ReplDrivenDesign.html
20,Lobsters,clojure,Clojure programming,"A simple, easy to use library for React development in ClojureScript",https://github.com/Lokeh/helix
21,Lobsters,clojure,Clojure programming,Creating a SpaceX Crew Dragon simulator autopilot in Clojure,https://medium.com/@thedanpetrov/creating-a-spacex-crew-dragon-simulator-autopilot-in-clojure-1ac095d9209b
22,Lobsters,clojure,Clojure programming,Array languages for Clojurians,http://www.appliedscience.studio/articles/array-programming-for-clojurists.html
23,Lobsters,clojure,Clojure programming,Building Raft in Clojure,https://phillippe.siclait.com/blog/raft-in-clojure
24,Lobsters,clojure,Clojure programming,King releases the Defold game engine under a permissive license,https://defold.com/2020/05/19/Defold-is-now-open-source/
25,Lobsters,clojure,Clojure programming,Announcing Clojurists Together Summer of Bugs,https://www.clojuriststogether.org/news/announcing-summer-of-bugs/
26,Lobsters,clojure,Clojure programming,"An Architecture for Community Contribution, Speed and Modularity",https://jponline.github.io/looset-landing/an-architecture/
27,Lobsters,clojure,Clojure programming,Cognitect Joins Nubank,https://cognitect.com/blog/2020/07/23/Cognitect-Joins-Nubank
28,Lobsters,clojure,Clojure programming,Cursive: The IDE for beautiful Clojure code,https://cursive-ide.com/
29,Lobsters,clojure,Clojure programming,Datalevin is a port of Datascript in-memory Datalog database to Lightning Memory-Mapped Database,https://github.com/juji-io/datalevin
30,Lobsters,clojure,Clojure programming,Building a static website with Babashka,https://www.mxmmz.nl/blog/building-a-website-with-babashka.html
31,Lobsters,clojure,Clojure programming,Comparing compiler construction in Clojure and F#,https://www.youtube.com/watch?v=t8usj1fN9rs
32,Lobsters,clojure,Clojure programming,Serving Findka's recommendations via libpython-clj,https://findka.com/blog/libpython-clj/
33,Lobsters,clojure,Clojure programming,REPL-integrated Clojure-to-Java decompiler,https://github.com/clojure-goes-fast/clj-java-decompiler
34,Lobsters,clojure,Clojure programming,Elliptic Curve Cryptography I,https://btcclj.com/posts-output/2020-06-18-elliptic-curve-cryptography-i/
35,Lobsters,clojure,Clojure programming,Call C from Clojure using GraalVM - then compile a binary using native-image,https://github.com/Saikyun/native-image-clojure-c
36,Lobsters,clojure,Clojure programming,ESP32-Based Board Uses ClojureScript to Explore Building IoT Devices,https://www.hackster.io/news/esp32-based-board-uses-clojurescript-to-explore-building-iot-devices-9c823bbeb011
37,Lobsters,clojure,Clojure programming,nREPL 0.8: Evolving the Protocol,http://metaredux.com/posts/2020/06/15/nrepl-0-8-evolving-the-protocol.html
38,Lobsters,clojure,Clojure programming,Transducers From The Ground Up,https://bsless.github.io/transducers-intro/
39,Lobsters,clojure,Clojure programming,Conversational software development,https://oli.me.uk/conversational-software-development/
40,Lobsters,clojure,Clojure programming,Clojure: a mature alternative to Java,https://github.com/borkdude/clojure-overstapservice/blob/english/Alternatief.md
