ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,d,D programming,Porting a Golang and Rust CLI tool to D,https://pingfrommorocco.blogspot.com/2020/08/porting-golang-and-rust-cli-tool-to-d.html
2,Lobsters,d,D programming,The ABC’s of Templates in D,https://dlang.org/blog/2020/07/31/the-abcs-of-templates-in-d/
3,Lobsters,d,D programming,"xmake v2.3.6 released, Support fortran compilation and go/dlang package dependences","https://github.com/xmake-io/xmake/wiki/xmake-v2.3.6-released,-Support-fortran-compilation-and-go-dlang-package-dependences"
4,Lobsters,d,D programming,Visual D 1.0.0 released,https://forum.dlang.org/thread/rdpuh1$2u9p$1@digitalmars.com
5,Lobsters,d,D programming,"A Look at Chapel, D, and Julia Using Kernel Matrix Calculations",https://dlang.org/blog/2020/06/03/a-look-at-chapel-d-and-julia-using-kernel-matrix-calculations/
6,Lobsters,d,D programming,dlang adds borrowchecker,https://dlang.org/changelog/2.092.0.html#ob
7,Lobsters,d,D programming,The Naked Truth About Writing a Programming Language (2014),https://digitalmars.com/articles/b90.html
8,Lobsters,d,D programming,Lomuto’s Comeback,https://dlang.org/blog/2020/05/14/lomutos-comeback/
9,Lobsters,d,D programming,Interfacing D with C: Arrays and Functions (Arrays Part 2),https://dlang.org/blog/2020/04/28/interfacing-d-with-c-arrays-and-functions-arrays-part-two/
10,Lobsters,d,D programming,"Andrei Alexandrescu on D, Go, and Rust",https://www.quora.com/Which-language-has-the-brightest-future-in-replacement-of-C-between-D-Go-and-Rust-And-Why
11,Lobsters,d,D programming,DustMite: The General-Purpose Data Reduction Tool,https://dlang.org/blog/2020/04/13/dustmite-the-general-purpose-data-reduction-tool/
12,Lobsters,d,D programming,Tracing D Applications,https://dlang.org/blog/2020/03/13/tracing-d-applications/
13,Lobsters,d,D programming,wc in D: 712 Characters Without a Single Branch,https://dlang.org/blog/2020/01/28/wc-in-d-712-characters-without-a-single-branch/
14,Lobsters,d,D programming,The power of reflection,https://atilaoncode.blog/2020/01/22/the-power-of-reflection/
15,Lobsters,d,D programming,D at 20,https://www.youtube.com/watch?v=p22MM1wc7xQ
16,Lobsters,d,D programming,My Vision of D’s Future,https://dlang.org/blog/2019/10/15/my-vision-of-ds-future/
17,Lobsters,d,D programming,Beating std::visit Without Really Trying,https://pbackus.github.io/blog/beating-stdvisit-without-really-trying.html
18,Lobsters,d,D programming,DMD 2.088.0 Released,https://dlang.org/blog/2019/09/06/dmd-2-088-0-released/
19,Lobsters,d,D programming,Symmetry Autumn of Code (SAoC) projects selected,https://dlang.org/blog/2019/08/25/saoc-2019-projects-and-participants/
20,Lobsters,d,D programming,Bug bounties for D language,https://www.flipcause.com/secure/cause_pdetails/NjI2Njg=
21,Lobsters,d,D programming,"Models of Generics and Metaprogramming: Go, Rust, Swift, D and More",http://thume.ca/2019/07/14/a-tour-of-metaprogramming-models-for-generics/
22,Lobsters,d,D programming,Ownership and borrowing in D,https://dlang.org/blog/2019/07/15/ownership-and-borrowing-in-d/
23,Lobsters,d,D programming,DMD 2.087.0 Released,https://dlang.org/blog/2019/07/05/dmd-2-087-0-released/
24,Lobsters,d,D programming,D as a C Replacement,https://theartofmachinery.com/2019/04/05/d_as_c_replacement.html
25,Lobsters,d,D programming,Frictionless D Adoption for the Masses,https://www.youtube.com/watch?v=79COPHF3TnE&list=PLIldXzSkPUXWORGtUrnTo2ylziTHR8_Sq&index=13
26,Lobsters,d,D programming,Porting a Golang and Rust CLI tool to D,https://pingfrommorocco.blogspot.com/2020/08/porting-golang-and-rust-cli-tool-to-d.html
27,Lobsters,d,D programming,The ABC’s of Templates in D,https://dlang.org/blog/2020/07/31/the-abcs-of-templates-in-d/
28,Lobsters,d,D programming,"xmake v2.3.6 released, Support fortran compilation and go/dlang package dependences","https://github.com/xmake-io/xmake/wiki/xmake-v2.3.6-released,-Support-fortran-compilation-and-go-dlang-package-dependences"
