ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,dotnet,"C#, F#, .NET programming",Rolling your own crypto gone wrong: A look at a .NET Branca implementation,https://brycx.github.io/2020/08/22/a-look-at-a-branca-implementation.html
2,Lobsters,dotnet,"C#, F#, .NET programming",Domain Modeling Made Functional (2017),https://www.youtube.com/watch?v=Up7LcbGZFuo
3,Lobsters,dotnet,"C#, F#, .NET programming",Best way to create an empty collection (array and list) in C# (.NET),https://www.tabsoverspaces.com/233833-best-way-to-create-an-empty-collection-array-and-list-in-csharp-net
4,Lobsters,dotnet,"C#, F#, .NET programming",Optimising LINQ,https://mattwarren.org/2016/09/29/Optimising-LINQ/
5,Lobsters,dotnet,"C#, F#, .NET programming",Visitor and multiple dispatch via C# 'dynamic' (2011),https://www.shawnhargreaves.com/blog/visitor-and-multiple-dispatch-via-c-dynamic.html
6,Lobsters,dotnet,"C#, F#, .NET programming",Extreme programming meets systematic testing using Coyote,https://cloudblogs.microsoft.com/opensource/2020/07/14/extreme-programming-meets-systematic-testing-using-coyote/
7,Lobsters,dotnet,"C#, F#, .NET programming",Modernising .NET projects for .NET Core and beyond,https://dwmkerr.com/modernising-dotnet-projects/
8,Lobsters,dotnet,"C#, F#, .NET programming",Nodexr: A node-based Regular Expression editor,https://github.com/jcparkyn/nodexr/
9,Lobsters,dotnet,"C#, F#, .NET programming",V-Drum Explorer: Blazor and the Web MIDI API,https://codeblog.jonskeet.uk/2020/07/12/v-drum-explorer-blazor-and-the-web-midi-api/
10,Lobsters,dotnet,"C#, F#, .NET programming",Performance Improvements in .NET 5,https://devblogs.microsoft.com/dotnet/performance-improvements-in-net-5/
11,Lobsters,dotnet,"C#, F#, .NET programming",Comparing compiler construction in Clojure and F#,https://www.youtube.com/watch?v=t8usj1fN9rs
12,Lobsters,dotnet,"C#, F#, .NET programming",Understanding Parser Combinators,https://fsharpforfunandprofit.com/posts/understanding-parser-combinators/
13,Lobsters,dotnet,"C#, F#, .NET programming",Announcing the Porting Assistant for .NET,https://aws.amazon.com/blogs/aws/announcing-the-porting-assistant-for-net/
14,Lobsters,dotnet,"C#, F#, .NET programming","Goodbye NancyFX, Hello F#",https://blog.jonathanchannon.com/2020-06-16-goodbye-nancyfx-hello-fsharp/
15,Lobsters,dotnet,"C#, F#, .NET programming",C# 9: Simplified Parameter Null Validation,https://www.infoq.com/news/2020/06/CSharp-9-Null/
16,Lobsters,dotnet,"C#, F#, .NET programming",Exploring top-level statements in C# 9,https://www.tabsoverspaces.com/233831-exploring-top-level-statements-in-csharp-9
17,Lobsters,dotnet,"C#, F#, .NET programming","The anatomy of async iterators (aka await, foreach, yield)",https://blog.marcgravell.com/2020/05/the-anatomy-of-async-iterators-aka.html
18,Lobsters,dotnet,"C#, F#, .NET programming",ASP.NET Core Example with Custom Claims,https://fusionauth.io/blog/2020/05/27/sharing-custom-oauth-claims-with-a-asp-netcore-app
19,Lobsters,dotnet,"C#, F#, .NET programming",.NET async/await in a single picture,https://tooslowexception.com/net-asyncawait-in-a-single-picture/
20,Lobsters,dotnet,"C#, F#, .NET programming",Welcome to C# 9.0,https://devblogs.microsoft.com/dotnet/welcome-to-c-9-0/
21,Lobsters,dotnet,"C#, F#, .NET programming",CoreRT - A .NET Runtime for AOT,http://www.mattwarren.org/2018/06/07/CoreRT-.NET-Runtime-for-AOT/
22,Lobsters,dotnet,"C#, F#, .NET programming",Repository Madness,https://alexbilson.dev/posts/multi-repository-madness/
23,Lobsters,dotnet,"C#, F#, .NET programming",Single static binaries are coming to .NET Core,https://github.com/dotnet/runtime/issues/36590
24,Lobsters,dotnet,"C#, F#, .NET programming",Performance best practices in C#,https://medium.com/@kevingosse/performance-best-practices-in-c-b85a47bdd93a
25,Lobsters,dotnet,"C#, F#, .NET programming",Pinned Object Heap in .NET 5,https://tooslowexception.com/pinned-object-heap-in-net-5/
26,Lobsters,dotnet,"C#, F#, .NET programming",Rolling your own crypto gone wrong: A look at a .NET Branca implementation,https://brycx.github.io/2020/08/22/a-look-at-a-branca-implementation.html
27,Lobsters,dotnet,"C#, F#, .NET programming",Domain Modeling Made Functional (2017),https://www.youtube.com/watch?v=Up7LcbGZFuo
28,Lobsters,dotnet,"C#, F#, .NET programming",Best way to create an empty collection (array and list) in C# (.NET),https://www.tabsoverspaces.com/233833-best-way-to-create-an-empty-collection-array-and-list-in-csharp-net
29,Lobsters,dotnet,"C#, F#, .NET programming",Optimising LINQ,https://mattwarren.org/2016/09/29/Optimising-LINQ/
30,Lobsters,dotnet,"C#, F#, .NET programming",Visitor and multiple dispatch via C# 'dynamic' (2011),https://www.shawnhargreaves.com/blog/visitor-and-multiple-dispatch-via-c-dynamic.html
31,Lobsters,dotnet,"C#, F#, .NET programming",Extreme programming meets systematic testing using Coyote,https://cloudblogs.microsoft.com/opensource/2020/07/14/extreme-programming-meets-systematic-testing-using-coyote/
32,Lobsters,dotnet,"C#, F#, .NET programming",Modernising .NET projects for .NET Core and beyond,https://dwmkerr.com/modernising-dotnet-projects/
33,Lobsters,dotnet,"C#, F#, .NET programming",Nodexr: A node-based Regular Expression editor,https://github.com/jcparkyn/nodexr/
34,Lobsters,dotnet,"C#, F#, .NET programming",V-Drum Explorer: Blazor and the Web MIDI API,https://codeblog.jonskeet.uk/2020/07/12/v-drum-explorer-blazor-and-the-web-midi-api/
35,Lobsters,dotnet,"C#, F#, .NET programming",Performance Improvements in .NET 5,https://devblogs.microsoft.com/dotnet/performance-improvements-in-net-5/
36,Lobsters,dotnet,"C#, F#, .NET programming",Comparing compiler construction in Clojure and F#,https://www.youtube.com/watch?v=t8usj1fN9rs
37,Lobsters,dotnet,"C#, F#, .NET programming",Understanding Parser Combinators,https://fsharpforfunandprofit.com/posts/understanding-parser-combinators/
38,Lobsters,dotnet,"C#, F#, .NET programming",Announcing the Porting Assistant for .NET,https://aws.amazon.com/blogs/aws/announcing-the-porting-assistant-for-net/
39,Lobsters,dotnet,"C#, F#, .NET programming","Goodbye NancyFX, Hello F#",https://blog.jonathanchannon.com/2020-06-16-goodbye-nancyfx-hello-fsharp/
40,Lobsters,dotnet,"C#, F#, .NET programming",C# 9: Simplified Parameter Null Validation,https://www.infoq.com/news/2020/06/CSharp-9-Null/
41,Lobsters,dotnet,"C#, F#, .NET programming",Exploring top-level statements in C# 9,https://www.tabsoverspaces.com/233831-exploring-top-level-statements-in-csharp-9
42,Lobsters,dotnet,"C#, F#, .NET programming","The anatomy of async iterators (aka await, foreach, yield)",https://blog.marcgravell.com/2020/05/the-anatomy-of-async-iterators-aka.html
43,Lobsters,dotnet,"C#, F#, .NET programming",ASP.NET Core Example with Custom Claims,https://fusionauth.io/blog/2020/05/27/sharing-custom-oauth-claims-with-a-asp-netcore-app
44,Lobsters,dotnet,"C#, F#, .NET programming",.NET async/await in a single picture,https://tooslowexception.com/net-asyncawait-in-a-single-picture/
45,Lobsters,dotnet,"C#, F#, .NET programming",Welcome to C# 9.0,https://devblogs.microsoft.com/dotnet/welcome-to-c-9-0/
46,Lobsters,dotnet,"C#, F#, .NET programming",CoreRT - A .NET Runtime for AOT,http://www.mattwarren.org/2018/06/07/CoreRT-.NET-Runtime-for-AOT/
47,Lobsters,dotnet,"C#, F#, .NET programming",Repository Madness,https://alexbilson.dev/posts/multi-repository-madness/
48,Lobsters,dotnet,"C#, F#, .NET programming",Single static binaries are coming to .NET Core,https://github.com/dotnet/runtime/issues/36590
49,Lobsters,dotnet,"C#, F#, .NET programming",Performance best practices in C#,https://medium.com/@kevingosse/performance-best-practices-in-c-b85a47bdd93a
50,Lobsters,dotnet,"C#, F#, .NET programming",Pinned Object Heap in .NET 5,https://tooslowexception.com/pinned-object-heap-in-net-5/
51,Lobsters,dotnet,"C#, F#, .NET programming",AspNet Core Dependency Injection Best Practices & Tips (2019),"https://volosoft.com/blog/ASP.NET-Core-Dependency-Injection-Best-Practices,-Tips-Tricks"
52,Lobsters,dotnet,"C#, F#, .NET programming",Securing an ASP.NET Core Razor Pages app with OAuth,https://fusionauth.io/blog/2020/05/06/securing-asp-netcore-razor-pages-app-with-oauth
53,Lobsters,dotnet,"C#, F#, .NET programming",Enterprise C# to Self Employed React and Blazor - followup,https://www.towardssoftware.com/blog#blog30
54,Lobsters,dotnet,"C#, F#, .NET programming",Introducing C# Source Generators,https://devblogs.microsoft.com/dotnet/introducing-c-source-generators/
55,Lobsters,dotnet,"C#, F#, .NET programming",Creating a user in FusionAuth with a .NET Core CLI client,https://fusionauth.io/blog/2020/04/28/dot-net-command-line-client
56,Lobsters,dotnet,"C#, F#, .NET programming",Two months with Powershell on a UNIX,https://code.joejag.com/2020/a-month-with-powershell.html
57,Lobsters,dotnet,"C#, F#, .NET programming",.NET JIT compiler is not type safe,https://tooslowexception.com/net-jit-compiler-is-not-type-safe/
58,Lobsters,dotnet,"C#, F#, .NET programming",The story of how I created a way to port Windows Apps to Linux,https://www.blinkingcaret.com/2020/04/09/the-story-of-how-i-created-a-way-to-port-windows-apps-to-linux/
59,Lobsters,dotnet,"C#, F#, .NET programming",Generate unit tests for your code with IntelliTest,https://docs.microsoft.com/en-us/visualstudio/test/generate-unit-tests-for-your-code-with-intellitest
60,Lobsters,dotnet,"C#, F#, .NET programming",Implementing Single-User Administrator Authorization with Azure AD in ASP.Net Core 3.1,https://danschnau.com/blog/implementing_single_user_admin
61,Lobsters,dotnet,"C#, F#, .NET programming",SafeGPU: Contract- and Library-based GPGPU for Object-Oriented Languages (2016),http://se.inf.ethz.ch/people/poskitt/publications/Kolesnichenko-Poskitt-Nanz.COMLAN.2016.pdf
62,Lobsters,dotnet,"C#, F#, .NET programming",C# 8 is Introducing Ranges,https://www.devsanon.com/c/c-8-is-introducing-ranges/
63,Lobsters,dotnet,"C#, F#, .NET programming",The journey of packaging a .NET app on Nix,https://sgt.hootr.club/molten-matter/dotnet-on-nix/
64,Lobsters,dotnet,"C#, F#, .NET programming",Balancing work on GC threads,https://devblogs.microsoft.com/dotnet/balancing-work-on-gc-threads/
65,Lobsters,dotnet,"C#, F#, .NET programming",Lcc.NET: Targeting the .NET Common Intermediate Language from Standard C,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/tr-2002-112.pdf
66,Lobsters,dotnet,"C#, F#, .NET programming",ElectronCGI 1.0 - Cross-platform GUIs for .Net Core,https://www.blinkingcaret.com/2020/03/25/electroncgi-1-0-cross-platform-guis-for-net-core/
