ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,elixir,Elixir programming,The BEAM Has Spoiled Me,https://gvaughn.github.io/2020/08/08/beam_spoiled_me.html
2,Lobsters,elixir,Elixir programming,"Parse, don't validate — Elixir edition, Part Two",https://well-ironed.com/articles/parse-dont-validate-elixir-edition-part-two/
3,Lobsters,elixir,Elixir programming,Elixir RAM and the Template of Doom,https://www.evanmiller.org/elixir-ram-and-the-template-of-doom.html
4,Lobsters,elixir,Elixir programming,Minimum Viable Phoenix,http://www.petecorey.com/blog/2019/05/20/minimum-viable-phoenix/
5,Lobsters,elixir,Elixir programming,"Hacking the Pleroma: Elixir, Phoenix and a bit of ActivityPub",https://wimvanderbauwhede.github.io/articles/hacking-pleroma/
6,Lobsters,elixir,Elixir programming,Homemade analytics with Ecto and Elixir,https://dashbit.co/blog/homemade-analytics-with-ecto-and-elixir
7,Lobsters,elixir,Elixir programming,sorentwo/oban - Robust job processing in Elixir,https://github.com/sorentwo/oban
8,Lobsters,elixir,Elixir programming,Assorted IEx tricks,http://blog.tap349.com/elixir/iex/2017/05/21/elixir-iex/#suppress-long-output---in-pry
9,Lobsters,elixir,Elixir programming,Ecto Associations in Phoenix LiveView: One to Many,https://dennisbeatty.com/2019/08/20/ecto-associations-in-phoenix-liveview-one-to-many.html
10,Lobsters,elixir,Elixir programming,Using Benchee for Elixir Performance Tests,http://prying.io/technical/2019/07/21/using-benchee-for-elixir-performance-tests.html
11,Lobsters,elixir,Elixir programming,Why functional?,https://blog.testdouble.com/posts/2020-06-30-why-functional/
12,Lobsters,elixir,Elixir programming,Operating via development,https://www.theerlangelist.com/article/operating_via_development
13,Lobsters,elixir,Elixir programming,Introducing Lean Server for Midas (HTTP server in Gleam),https://crowdhailer.me/2020-06-23/introducing-lean-server-for-midas/
14,Lobsters,elixir,Elixir programming,Using Mnesia in an Elixir Application,https://blog.appsignal.com/2020/05/19/using-mnesia-in-an-elixir-application.html
15,Lobsters,elixir,Elixir programming,Scaling Up With Elixir,https://dockyard.com/blog/2020/05/28/scaling-up-with-elixir
16,Lobsters,elixir,Elixir programming,Transforming Programming (2017),https://www.youtube.com/watch?v=A76hM3MpEKo
17,Lobsters,elixir,Elixir programming,"Of Elixir, Phoenix, and analogies to the Prime Directive",https://ekarak.com/2020/05/16/of-elixir-phoenix-and-analogies-to-the-prime-directive/
18,Lobsters,elixir,Elixir programming,JVM struggles and the BEAM (observability and performance tuning),https://medium.com/@mrjoelkemp/jvm-struggles-and-the-beam-4d9c58547410
19,Lobsters,elixir,Elixir programming,"archseer/enigma - Enigma VM, an implementation of the Erlang VM in Rust",https://github.com/archseer/enigma
20,Lobsters,elixir,Elixir programming,Newtype-like tagged tuples in Elixir,https://pzel.name/2020/04/26/Newtype-like-tagged-tuples-in-Elixir.html
21,Lobsters,elixir,Elixir programming,Build a real-time Twitter clone in 15 minutes with LiveView and Phoenix 1.5,https://www.phoenixframework.org/blog/build-a-real-time-twitter-clone-in-15-minutes-with-live-view-and-phoenix-1-5
22,Lobsters,elixir,Elixir programming,Phoenix Live Dashboard,https://github.com/phoenixframework/phoenix_live_dashboard
23,Lobsters,elixir,Elixir programming,Squeezing the most out of the server: Erlang Profiling,http://tech.nextroll.com/blog/dev/2020/04/07/erlang-profiling.html
24,Lobsters,elixir,Elixir programming,Observing Processes in Elixir - The Little Elixir & OTP Guidebook (2015),https://www.akitaonrails.com/2015/11/22/observing-processes-in-elixir-the-little-elixir-otp-guidebook
25,Lobsters,elixir,Elixir programming,Introducing Ecto Resource,https://blog.testdouble.com/posts/2020-03-24-introducing-ecto-resource/
26,Lobsters,elixir,Elixir programming,The BEAM Has Spoiled Me,https://gvaughn.github.io/2020/08/08/beam_spoiled_me.html
27,Lobsters,elixir,Elixir programming,"Parse, don't validate — Elixir edition, Part Two",https://well-ironed.com/articles/parse-dont-validate-elixir-edition-part-two/
28,Lobsters,elixir,Elixir programming,Elixir RAM and the Template of Doom,https://www.evanmiller.org/elixir-ram-and-the-template-of-doom.html
29,Lobsters,elixir,Elixir programming,Minimum Viable Phoenix,http://www.petecorey.com/blog/2019/05/20/minimum-viable-phoenix/
30,Lobsters,elixir,Elixir programming,"Hacking the Pleroma: Elixir, Phoenix and a bit of ActivityPub",https://wimvanderbauwhede.github.io/articles/hacking-pleroma/
31,Lobsters,elixir,Elixir programming,Homemade analytics with Ecto and Elixir,https://dashbit.co/blog/homemade-analytics-with-ecto-and-elixir
32,Lobsters,elixir,Elixir programming,sorentwo/oban - Robust job processing in Elixir,https://github.com/sorentwo/oban
33,Lobsters,elixir,Elixir programming,Assorted IEx tricks,http://blog.tap349.com/elixir/iex/2017/05/21/elixir-iex/#suppress-long-output---in-pry
34,Lobsters,elixir,Elixir programming,Ecto Associations in Phoenix LiveView: One to Many,https://dennisbeatty.com/2019/08/20/ecto-associations-in-phoenix-liveview-one-to-many.html
35,Lobsters,elixir,Elixir programming,Using Benchee for Elixir Performance Tests,http://prying.io/technical/2019/07/21/using-benchee-for-elixir-performance-tests.html
36,Lobsters,elixir,Elixir programming,Why functional?,https://blog.testdouble.com/posts/2020-06-30-why-functional/
37,Lobsters,elixir,Elixir programming,Operating via development,https://www.theerlangelist.com/article/operating_via_development
38,Lobsters,elixir,Elixir programming,Introducing Lean Server for Midas (HTTP server in Gleam),https://crowdhailer.me/2020-06-23/introducing-lean-server-for-midas/
39,Lobsters,elixir,Elixir programming,Using Mnesia in an Elixir Application,https://blog.appsignal.com/2020/05/19/using-mnesia-in-an-elixir-application.html
40,Lobsters,elixir,Elixir programming,Scaling Up With Elixir,https://dockyard.com/blog/2020/05/28/scaling-up-with-elixir
41,Lobsters,elixir,Elixir programming,Transforming Programming (2017),https://www.youtube.com/watch?v=A76hM3MpEKo
42,Lobsters,elixir,Elixir programming,"Of Elixir, Phoenix, and analogies to the Prime Directive",https://ekarak.com/2020/05/16/of-elixir-phoenix-and-analogies-to-the-prime-directive/
43,Lobsters,elixir,Elixir programming,JVM struggles and the BEAM (observability and performance tuning),https://medium.com/@mrjoelkemp/jvm-struggles-and-the-beam-4d9c58547410
44,Lobsters,elixir,Elixir programming,"archseer/enigma - Enigma VM, an implementation of the Erlang VM in Rust",https://github.com/archseer/enigma
45,Lobsters,elixir,Elixir programming,Newtype-like tagged tuples in Elixir,https://pzel.name/2020/04/26/Newtype-like-tagged-tuples-in-Elixir.html
46,Lobsters,elixir,Elixir programming,Build a real-time Twitter clone in 15 minutes with LiveView and Phoenix 1.5,https://www.phoenixframework.org/blog/build-a-real-time-twitter-clone-in-15-minutes-with-live-view-and-phoenix-1-5
47,Lobsters,elixir,Elixir programming,Phoenix Live Dashboard,https://github.com/phoenixframework/phoenix_live_dashboard
48,Lobsters,elixir,Elixir programming,Squeezing the most out of the server: Erlang Profiling,http://tech.nextroll.com/blog/dev/2020/04/07/erlang-profiling.html
49,Lobsters,elixir,Elixir programming,Observing Processes in Elixir - The Little Elixir & OTP Guidebook (2015),https://www.akitaonrails.com/2015/11/22/observing-processes-in-elixir-the-little-elixir-otp-guidebook
50,Lobsters,elixir,Elixir programming,Introducing Ecto Resource,https://blog.testdouble.com/posts/2020-03-24-introducing-ecto-resource/
51,Lobsters,elixir,Elixir programming,Mixing Gleam & Elixir,https://dev.to/contact-stack/mixing-gleam-elixir-3fe3
52,Lobsters,elixir,Elixir programming,Discord Incident Report (March 16 Outage),https://status.discordapp.com/incidents/62gt9cgjwdgf
53,Lobsters,elixir,Elixir programming,Building Command-Line Applications in Elixir,https://zorbash.com/post/building-command-line-applications-with-elixir/
54,Lobsters,elixir,Elixir programming,Elixir-Style Actors in Go,https://preslav.me/2020/03/07/elixir-style-actors-in-golang/
55,Lobsters,elixir,Elixir programming,Complex Unique Constraints with PostgreSQL Triggers in Ecto,http://johnwilger.com/2020/02/16/ecto-custom-unique-constraint-trigger.html
56,Lobsters,elixir,Elixir programming,Ranking list algorithm in Elixir,https://enpo.no/2020/2020-02-19-ranking-list-algorithm-in-elixir.html
57,Lobsters,elixir,Elixir programming,Elixir and Postgres: A Rarely Mentioned Problem,https://blog.soykaf.com/post/postgresql-elixir-troubles/
58,Lobsters,elixir,Elixir programming,druid: Failing to parse Elixir with Megaparsec,https://evuez.github.io/projects/druid-failing-to-parse-elixir-with-megaparsec.html
59,Lobsters,elixir,Elixir programming,Elixir v1.10 released,https://elixir-lang.org/blog/2020/01/27/elixir-v1-10-0-released/
60,Lobsters,elixir,Elixir programming,Breadth-First Search in Elixir,https://pabloaguiar.me/post/breadth-first-search-in-elixir/
61,Lobsters,elixir,Elixir programming,Ernie - binary encoding format based on External Term Format (Erlang),https://github.com/hauleth/ernie
62,Lobsters,elixir,Elixir programming,systemd integration library for Erlang applications,https://github.com/hauleth/erlang-systemd
63,Lobsters,elixir,Elixir programming,"LambdaConf 2020 Call for Proposals: Scala, Haskell, Kotlin, Purescript, Rust, Elm, Elixir, F#",https://lambdaconf.zohobackstage.com/LambdaConf2020#/cfp?lang=en
64,Lobsters,elixir,Elixir programming,Elixir 1.10 Release Candidate 0,https://github.com/elixir-lang/elixir/releases/tag/v1.10.0-rc.0
65,Lobsters,elixir,Elixir programming,"I tried to win $1,000 recently",https://blog.neillyons.io/I-tried-to-win-1000-dollars-recently/
66,Lobsters,elixir,Elixir programming,A Redis like server for Cloud Native read intensive workloads in Elixir,https://github.com/coosto/redex
67,Lobsters,elixir,Elixir programming,Awesome Concurrency with Elixir Tasks,https://www.slideshare.net/yonkeltron/awesome-concurrency-with-elixir-tasks
68,Lobsters,elixir,Elixir programming,A rapid admin generator for Elixir & Phoenix,https://github.com/mojotech/torch
69,Lobsters,elixir,Elixir programming,How to Use Broadway in Your Elixir Application,https://blog.appsignal.com/2019/12/12/how-to-use-broadway-in-your-elixir-application.html
70,Lobsters,elixir,Elixir programming,ElixirConfLA 2019 - Erlang/OTP: What is in the box? by João Britto,https://www.youtube.com/watch?v=WXqbOBH9xjg
71,Lobsters,elixir,Elixir programming,Survey of Cowboy Webserver Performance - Part 2,https://stressgrid.com/blog/cowboy_performance_part_2/
72,Lobsters,elixir,Elixir programming,Elixir Module and Struct Interoperability for Erlang,http://marianoguerra.org/posts/rfc-elixir-module-and-struct-interoperability-for-erlang.html
73,Lobsters,elixir,Elixir programming,Survey of Cowboy Webserver Performance,https://stressgrid.com/blog/cowboy_performance/
74,Lobsters,elixir,Elixir programming,Riak Core on Partisan on Elixir Tutorial: Migrating Data with Handoff,http://marianoguerra.org/posts/riak-core-on-partisan-on-elixir-tutorial-handoff.html
75,Lobsters,elixir,Elixir programming,Modeling Systems with TLA+,https://www.youtube.com/watch?v=efCKA-Ug8w4
76,Lobsters,elixir,Elixir programming,A More Type-Driven Elixir Workflow? Maybe,https://well-ironed.com/articles/a-more-type-driven-elixir-workflow-maybe/
77,Lobsters,elixir,Elixir programming,Riak Core on Partisan on Elixir: We can make a Key Value Store out of that,http://marianoguerra.org/posts/riak-core-on-partisan-on-elixir-tutorial-we-can-make-a-key-value-store-out-of-that.html
78,Lobsters,elixir,Elixir programming,Riak Core on Partisan on Elixir Tutorial: Getting Started,http://marianoguerra.org/posts/riak-core-on-partisan-on-elixir-tutorial-getting-started.html
79,Lobsters,elixir,Elixir programming,Kubernetes and the Erlang VM: orchestration on the large and the small,http://blog.plataformatec.com.br/2019/10/kubernetes-and-the-erlang-vm-orchestration-on-the-large-and-the-small/
80,Lobsters,elixir,Elixir programming,A Slack bookmarking application in Elixir,https://zorbash.com/post/slack-bookmarks-collaboration-elixir/
81,Lobsters,elixir,Elixir programming,Phoenix Phrenzy Winners Announced,https://phoenixphrenzy.com/results
82,Lobsters,elixir,Elixir programming,The One Who Created Elixir - interview with Jose Valim,https://www.welcometothejungle.co/en/articles/btc-elixir-jose-valim
83,Lobsters,elixir,Elixir programming,Using Nix in Elixir projects,https://ejpcmac.net/blog/using-nix-in-elixir-projects/
84,Lobsters,elixir,Elixir programming,Application Layering - A Pattern for Extensible Elixir Application Design,https://aaronrenner.io/2019/09/18/application-layering-a-pattern-for-extensible-elixir-application-design.html
85,Lobsters,elixir,Elixir programming,Kosmi Poker – Create Private Poker Rooms with Webcam Communication Using WebRTC,https://poker.kosmi.io
86,Lobsters,elixir,Elixir programming,Spawnfest 2019 Submissions,https://github.com/spawnfest?q=2019
87,Lobsters,elixir,Elixir programming,Deploying Phoenix to Kubernetes from Scratch,https://quan.io/blog/deploying-phoenix-to-kubernetes-from-scratch/
88,Lobsters,elixir,Elixir programming,Animating a Canvas with Phoenix LiveView,http://www.petecorey.com/blog/2019/09/02/animating-a-canvas-with-phoenix-liveview/
89,Lobsters,elixir,Elixir programming,lumen/lumen - Compile Erlang/Elixir Applications to WebAssembly,https://github.com/lumen/lumen
90,Lobsters,elixir,Elixir programming,Financial Portfolio rebalancing with Elixir,https://elviovicosa.com/2019/08/25/financial-portfolio-rebalancing-with-elixir/
91,Lobsters,elixir,Elixir programming,Cleaning up your Elixir Code,https://struggling.dev/clean-code/
92,Lobsters,elixir,Elixir programming,Elixir + gRPC: the road to production,https://code.tubitv.com/elixir-grpc-the-road-to-production-5d7daad4945b
93,Lobsters,elixir,Elixir programming,Macro Madness: How to use `use` well,https://dockyard.com/blog/2017/12/07/macro-madness-how-to-use-use-well
94,Lobsters,elixir,Elixir programming,Phoenix Phrenzy: Build exciting demos using Phoenix LiveView,https://phoenixphrenzy.com/
95,Lobsters,elixir,Elixir programming,Pattern Matching Versus Elixir's Access Behavior,https://stratus3d.com/blog/2019/07/13/pattern-matching-versus-elixirs-access-behavior
96,Lobsters,elixir,Elixir programming,Litmus: Data validation library in Elixir,https://github.com/lob/litmus
97,Lobsters,elixir,Elixir programming,The wide world of almost-actors: comparing Pony to BEAM languages,https://www.youtube.com/watch?v=_0m0_qtfzLs
98,Lobsters,elixir,Elixir programming,Why am I interested in Elixir?,http://underjord.io/why-am-i-interested-in-elixir.html
99,Lobsters,elixir,Elixir programming,Performance of Elixir's Access Behavior,https://stratus3d.com/blog/2019/06/29/performance-of-elixirs-access-behavior
100,Lobsters,elixir,Elixir programming,An Unprecedented Subtraction,https://medium.com/erlang-battleground/erlang-elixir-list-subtraction-wat-5b764020d69c
101,Lobsters,elixir,Elixir programming,Pleroma 1.0.0,https://blog.soykaf.com/post/pleroma-1.0/
102,Lobsters,elixir,Elixir programming,Building and Playing the Go Game with Phoenix LiveView,https://blog.appsignal.com/2019/06/18/elixir-alchemy-building-go-with-phoenix-live-view.html
103,Lobsters,elixir,Elixir programming,Elixir v1.9 released,https://elixir-lang.org/blog/2019/06/24/elixir-v1-9-0-released/
104,Lobsters,elixir,Elixir programming,(BEAM) Data Types Memory Layout,http://beam-wisdoms.clau.se/en/latest/indepth-memory-layout.html
105,Lobsters,elixir,Elixir programming,Finding Bugs with Property Based Testing in a Statistics Calculation,https://pragtob.wordpress.com/2019/06/24/finding-bugs-with-property-based-testing-in-a-statistics-calculation/
106,Lobsters,elixir,Elixir programming,BEAM + Rust A match made in heaven,https://codesync.global/media/beam-rust-a-match-made-in-heaven/
107,Lobsters,elixir,Elixir programming,Help Dialyzer Help You,https://medium.com/erlang-battleground/help-dialyzer-help-you-94db66bfbc5a
108,Lobsters,elixir,Elixir programming,What’s the Fastest Data Structure to Implement a Game Board in Elixir?,https://pragtob.wordpress.com/2019/06/17/comparing-the-performance-of-different-board-implementations-in-elixir/
109,Lobsters,elixir,Elixir programming,Memento – Mnesia Real-time Distributed Database in Elixir,https://github.com/sheharyarn/memento
110,Lobsters,elixir,Elixir programming,Elixir 1.9 RC.0 - Releases support and a configuration overhaul,https://github.com/elixir-lang/elixir/releases/tag/v1.9.0-rc.0
111,Lobsters,elixir,Elixir programming,BEAM Architecture Handbook,https://speakerdeck.com/whatyouhide/beam-architecture-handbook
112,Lobsters,elixir,Elixir programming,Minimum Viable Phoenix,http://www.petecorey.com/blog/2019/05/20/minimum-viable-phoenix/
113,Lobsters,elixir,Elixir programming,Using Rust to Scale Elixir for 11 Million Concurrent Users,https://blog.discordapp.com/using-rust-to-scale-elixir-for-11-million-concurrent-users-c6f19fc029d3
114,Lobsters,elixir,Elixir programming,"Mobilizon, an open and federated alternative for Facebook events",https://joinmobilizon.org/en/
115,Lobsters,elixir,Elixir programming,Gun. The powerful Erlang HTTP client,http://big-elephants.com/2019-05/gun/
116,Lobsters,elixir,Elixir programming,My Take on Property-Based Testing,https://medium.com/erlang-battleground/property-based-testing-erlang-elixir-de72ad24966b
117,Lobsters,elixir,Elixir programming,Introducing Telemetry,https://www.erlang-solutions.com/blog/introducing-telemetry.html
118,Lobsters,elixir,Elixir programming,Thoughts On Elixir: Pros And Cons Of The Most Popular Tool For High-Load Dev,https://habr.com/en/post/449522/
119,Lobsters,elixir,Elixir programming,MarkdownLive,http://markdown.dichev.io
120,Lobsters,elixir,Elixir programming,You may not need GenServers and Supervision Trees,https://pragtob.wordpress.com/2019/04/24/you-may-not-need-genservers-and-supervision-trees/
121,Lobsters,elixir,Elixir programming,"Elixir protocols, how do they work? the erlang perspective",http://marianoguerra.org/posts/elixir-protocols-how-do-they-work-the-erlang-perspective.html
122,Lobsters,elixir,Elixir programming,Why should every process be supervised?,https://medium.com/@derek.kraan2/why-should-every-process-be-supervised-4fbd39c495c6
123,Lobsters,elixir,Elixir programming,Fighting the Bloat! SSH Support in Pleroma,https://blog.soykaf.com/post/ssh-support-in-pleroma/
124,Lobsters,elixir,Elixir programming,Operable Erlang and Elixir,https://www.youtube.com/watch?v=OR2Gc6_Le2U
125,Lobsters,elixir,Elixir programming,Function/Method look up in Elixir/Ruby,https://dev.to/edisonywh/functionmethod-look-up-in-elixirruby-622
126,Lobsters,elixir,Elixir programming,How did I build a serverless offline button with AWS and Elixir?,https://pattern-match.com/blog/2019/03/13/how-did-i-build-a-serverless-offline-button-with-aws/
127,Lobsters,elixir,Elixir programming,Phoenix LiveView pre-release code is now public,https://github.com/phoenixframework/phoenix_live_view
128,Lobsters,elixir,Elixir programming,GRiSP 2 – Erlang and Elixir on metal,https://www.kickstarter.com/projects/peerstritzinger/grisp-2
129,Lobsters,elixir,Elixir programming,Building a devOps/CI/CD Pipeline,https://github.com/joeyrosztoczy/golden-path
130,Lobsters,elixir,Elixir programming,Achieving 100k connections per second with Elixir,https://stressgrid.com/blog/100k_cps_with_elixir/
131,Lobsters,elixir,Elixir programming,Embedded Elixir with Nerves,https://www.youtube.com/watch?v=IVCQvcCEjkU
132,Lobsters,elixir,Elixir programming,Unit and Integration Testing In Elixir with Multiple Environments,https://spin.atomicobject.com/2018/10/22/elixir-test-multiple-environments/
133,Lobsters,elixir,Elixir programming,Introducing the Erlang Ecosystem Foundation,https://codesync.global/media/introducing-erlang-ecosystem-foundation/
134,Lobsters,elixir,Elixir programming,Locality-sensitive Hashing in Elixir,https://underthehood.meltwater.com/blog/2019/02/25/locality-sensitive-hashing-in-elixir/
135,Lobsters,elixir,Elixir programming,The Curious Case of BEAM CPU Usage,https://stressgrid.com/blog/beam_cpu_usage/
136,Lobsters,elixir,Elixir programming,Benchmarking Go vs Node vs Elixir,https://stressgrid.com/blog/benchmarking_go_vs_node_vs_elixir/
137,Lobsters,elixir,Elixir programming,Pearls of Elixir - Interesting patterns from popular Elixir packages,https://minhajuddin.com/2019/02/01/pearls-of-elixir-interesting-patterns-from-popular-elixir-packages/
138,Lobsters,elixir,Elixir programming,Functional programming is not a paradigm,https://dev.to/notriddle/functional-programming-is-not-a-paradigm-1p8o
