ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,erlang,Erlang development,The New Scalable ETS ordered_set,http://blog.erlang.org/the-new-scalable-ets-ordered_set/
2,Lobsters,erlang,Erlang development,The BEAM Has Spoiled Me,https://gvaughn.github.io/2020/08/08/beam_spoiled_me.html
3,Lobsters,erlang,Erlang development,Erlang dbg Intro,https://antranigv.am/weblog_en/posts/erlang-dbg-intro/
4,Lobsters,erlang,Erlang development,The Erlang Runtime System,https://blog.stenmans.org/theBeamBook/
5,Lobsters,erlang,Erlang development,"v0.10 of Gleam, a statically typed language for the Erlang VM, is out",https://lpil.uk/blog/gleam-v0.10-released/
6,Lobsters,erlang,Erlang development,Operating via development,https://www.theerlangelist.com/article/operating_via_development
7,Lobsters,erlang,Erlang development,Introducing Lean Server for Midas (HTTP server in Gleam),https://crowdhailer.me/2020-06-23/introducing-lean-server-for-midas/
8,Lobsters,erlang,Erlang development,Hamler – Haskell-style functional programming language running on Erlang VM,https://www.emqx.io/news/open-source-functional-programming-language-hamler
9,Lobsters,erlang,Erlang development,"v0.9 of Gleam, a statically typed language for the Erlang VM, is out",https://lpil.uk/blog/gleam-v0.9-released/
10,Lobsters,erlang,Erlang development,"Scaling Erlang cluster to 10,000 nodes (2018)",https://codesync.global/media/maxim-fedorov-scaling-erlang-cluster-to-10-000-nodes/
11,Lobsters,erlang,Erlang development,Erlang online resources,https://gist.github.com/macintux/6349828
12,Lobsters,erlang,Erlang development,Getting Erlang to talk to the outside world (2002),http://erlang.org/workshop/2002/Armstrong.pdf
13,Lobsters,erlang,Erlang development,Startup hook pattern,http://blog.snailtext.com/posts/startup-hook-pattern.html
14,Lobsters,erlang,Erlang development,Optimising for Concurrency: Comparing and contrasting the BEAM and JVM virtual machines,https://www.erlang-solutions.com/blog/optimising-for-concurrency-comparing-and-contrasting-the-beam-and-jvm-virtual-machines.html
15,Lobsters,erlang,Erlang development,Erlang/OTP 23 Released,https://www.erlang.org/news/140
16,Lobsters,erlang,Erlang development,"v0.8 of Gleam, the statically typed language for the Erlang VM, is out",https://lpil.uk/blog/gleam-v0.8-released/
17,Lobsters,erlang,Erlang development,Less noise with OTP,http://blog.snailtext.com/posts/less-noise-with-otp.html
18,Lobsters,erlang,Erlang development,"archseer/enigma - Enigma VM, an implementation of the Erlang VM in Rust",https://github.com/archseer/enigma
19,Lobsters,erlang,Erlang development,Matching binary patterns with Erlang,https://dev.to/l1x/matching-binary-patterns-11kh
20,Lobsters,erlang,Erlang development,What's the best functional language to learn over the next 30 days?,/s/hf3y19/what_s_best_functional_language_learn
21,Lobsters,erlang,Erlang development,The saddest script I ever wrote,http://blog.snailtext.com/posts/the-saddest-script-i-ever-wrote.html
22,Lobsters,erlang,Erlang development,There's a new Language Server and Code Formatter for Erlang,https://notamonadtutorial.com/erlang-tooling-in-2020-b9606596353a
23,Lobsters,erlang,Erlang development,"BEAM in the Browser with Lumen, Part 1: Motivations & Constraints",https://tylerscript.dev/bringing-the-beam-to-webassembly-with-lumen
24,Lobsters,erlang,Erlang development,Comparing Cpp And Erlang For Motorola Telecoms Software,https://www.slideshare.net/Arbow/comparing-cpp-and-erlang-for-motorola-telecoms-software
25,Lobsters,erlang,Erlang development,Squeezing the most out of the server: Erlang Profiling,http://tech.nextroll.com/blog/dev/2020/04/07/erlang-profiling.html
