ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,formalmethods,CSE-Formal methods,An introduction to Formal Verification for Software Systems,https://www.moritz.systems/blog/an-introduction-to-formal-verification/
2,Lobsters,formalmethods,CSE-Formal methods,REMS - Rigorous Engineering of Mainstream Systems,https://www.cl.cam.ac.uk/~pes20/rems/
3,Lobsters,formalmethods,CSE-Formal methods,Edwin Brady Tells Us What's New in Idris 2,https://www.youtube.com/watch?v=nbClauMCeds
4,Lobsters,formalmethods,CSE-Formal methods,Relaxing the Data Initialization Policy of SPARK,https://blog.adacore.com/relaxing-the-data-initialization-policy-of-spark
5,Lobsters,formalmethods,CSE-Formal methods,fbpmn: formal tools for business process modeling,https://github.com/pascalpoizat/fbpmn
6,Lobsters,formalmethods,CSE-Formal methods,Proving Algebraic Datatypes are “Algebraic”,https://soap.coffee/~lthms/posts/AlgebraicDatatypes.html
7,Lobsters,formalmethods,CSE-Formal methods,Weak and Strong Fairness,https://www.hillelwayne.com/post/fairness/
8,Lobsters,formalmethods,CSE-Formal methods,The TodoMVC Showdown: Testing with WebCheck,https://wickstrom.tech/programming/2020/07/02/the-todomvc-showdown-testing-with-webcheck.html
9,Lobsters,formalmethods,CSE-Formal methods,Train Sidings - A TLA+ Example,https://www.heinbockel.eu/2019/12/08/train-sidings-a-tla-example/
10,Lobsters,formalmethods,CSE-Formal methods,Stan - A static analysis tool for Haskell (similar to errorprone for Java),https://github.com/kowainik/stan/blob/master/README.md
11,Lobsters,formalmethods,CSE-Formal methods,Verified Programming with Project Everest,https://www.youtube.com/watch?v=5B7iI2onu8s
12,Lobsters,formalmethods,CSE-Formal methods,SAT solver on top of regex matcher,https://yurichev.com/news/20200621_regex_SAT/
13,Lobsters,formalmethods,CSE-Formal methods,Alive2: Automatic verification of LLVM optimizations,https://github.com/AliveToolkit/alive2
14,Lobsters,formalmethods,CSE-Formal methods,Summer of Zoom – A curated list of remote conferences,http://oktatok.karolyrobert.hu/buday.gergely/summer-of-zoom/
15,Lobsters,formalmethods,CSE-Formal methods,How did software get so reliable without proof?,https://surfingcomplexity.blog/2020/03/02/how-did-software-get-so-reliable-without-proof/
16,Lobsters,formalmethods,CSE-Formal methods,Formal Methods: From Academia to Industrial Practice,https://arxiv.org/abs/2002.07279
17,Lobsters,formalmethods,CSE-Formal methods,seL4 is verified on RISC-V,https://microkerneldude.wordpress.com/2020/06/09/sel4-is-verified-on-risc-v/
18,Lobsters,formalmethods,CSE-Formal methods,Verifying Popcount,https://blog.regehr.org/archives/1667
19,Lobsters,formalmethods,CSE-Formal methods,Using Formal Methods to Eliminate Exploitable Bugs,https://www.youtube.com/watch?v=YyT9BU0aJUE
20,Lobsters,formalmethods,CSE-Formal methods,Using Z3 Theorem on AVR Firmware,https://medium.com/@ryancor/using-z3-theorem-on-avr-firmware-c6d2f45ac9c2
21,Lobsters,formalmethods,CSE-Formal methods,Specifying and Model Checking Workflows of Single Page Applications with TLA+,https://arxiv.org/abs/2005.05627
