ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,objectivec,Objective-C programming,Brad Cox,https://deprogrammaticaipsum.com/brad-cox/
2,Lobsters,objectivec,Objective-C programming,Advancements in the Objective-C runtime,https://developer.apple.com/videos/play/wwdc2020/10163/
3,Lobsters,objectivec,Objective-C programming,Tiger to Catalina: let’s port some code,https://www.sicpers.info/2020/07/tiger-to-catalina-lets-port-some-code/
4,Lobsters,objectivec,Objective-C programming,Objective-C Direct Methods,https://nshipster.com/direct/
5,Lobsters,objectivec,Objective-C programming,"Beyond Faster JSON Support for iOS/macOS, Part 9: CSV and SQLite",https://blog.metaobject.com/2020/06/beyond-faster-json-support-for-iosmacos.html
6,Lobsters,objectivec,Objective-C programming,The Curious Case of Swift's Adoption of Smalltalk Keyword Syntax,https://blog.metaobject.com/2020/06/the-curious-case-of-swift-adoption-of.html
7,Lobsters,objectivec,Objective-C programming,The Origins of Objective-C at PPI/Stepstone and Its Evolution at NeXT,https://dl.acm.org/doi/pdf/10.1145/3386332
8,Lobsters,objectivec,Objective-C programming,MPWTest: Reducing Test Friction by Going Beyond the xUnit Model,https://blog.metaobject.com/2020/05/mpwtest-reducing-test-friction-by-going.html
9,Lobsters,objectivec,Objective-C programming,ObjFW 98 SE: Bringing Objective-C to Windows 98 SE and NT 4.0,https://blog.nil.im/?77
10,Lobsters,objectivec,Objective-C programming,A modern chat client built on Matrix,https://gitlab.com/ditto-chat/ditto-mobile
11,Lobsters,objectivec,Objective-C programming,Santa: Binary whitelisting system extension for macOS,https://github.com/google/santa
12,Lobsters,objectivec,Objective-C programming,ReDoomEd,http://twilightedge.com/mac/redoomed/
13,Lobsters,objectivec,Objective-C programming,Objective-Smalltalk,http://objective.st/
14,Lobsters,objectivec,Objective-C programming,Bypassing objc_msgSend,https://saagarjha.com/blog/2019/12/15/bypassing-objc-msgsend/
15,Lobsters,objectivec,Objective-C programming,The Four Stages of Objective-Smalltalk,https://blog.metaobject.com/2019/12/the-4-stages-of-objective-smalltalk.html
16,Lobsters,objectivec,Objective-C programming,Technical Deep Dive: How does Retroactive work?,https://medium.com/@cormiertyshawn895/deep-dive-how-does-retroactive-work-95fe0e5ea49e
17,Lobsters,objectivec,Objective-C programming,High Performance Numeric Programming with Swift: Explorations and Reflections,https://www.fast.ai/2019/01/10/swift-numerics/
18,Lobsters,objectivec,Objective-C programming,objc_msgSend’s New Prototype,https://www.mikeash.com/pyblog/objc_msgsends-new-prototype.html
19,Lobsters,objectivec,Objective-C programming,Darling Progress Report Q2 2019,http://blog.darlinghq.org/2019/07/darling-progress-report-q2-2019.html
20,Lobsters,objectivec,Objective-C programming,6 mac apps that fit everyone,https://sobolevn.me/2019/07/6-best-mac-apps
21,Lobsters,objectivec,Objective-C programming,Skiptracing: Reversing Spotify.app,https://medium.com/@lerner98/skiptracing-reversing-spotify-app-3a6df367287d
22,Lobsters,objectivec,Objective-C programming,The C Object System,http://ldeniau.web.cern.ch/ldeniau/html/cos-dls09-draft.pdf
23,Lobsters,objectivec,Objective-C programming,"LLVM JIT, Objective-C and Swift on macOS: knowledge dump",https://stanislaw.github.io/2018/09/03/llvm-jit-objc-and-swift-knowledge-dump.html
24,Lobsters,objectivec,Objective-C programming,iTerm2 has a new drawing engine that uses Metal 2,https://gitlab.com/gnachman/iterm2/wikis/Metal-Renderer
25,Lobsters,objectivec,Objective-C programming,macOS VPN architecture from System Preferences down to nesessionmanager,https://blog.timac.org/2018/0717-macos-vpn-architecture/
26,Lobsters,objectivec,Objective-C programming,Brad Cox,https://deprogrammaticaipsum.com/brad-cox/
27,Lobsters,objectivec,Objective-C programming,Advancements in the Objective-C runtime,https://developer.apple.com/videos/play/wwdc2020/10163/
