ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,scala,Scala programming,ZIO 1.0 Released,https://ziverge.com/blog/zio-1.0/
2,Lobsters,scala,Scala programming,Cross-Platform Language Design - Sébastien Doeraene - Ph.D. thesis,http://lampwww.epfl.ch/~doeraene/thesis/
3,Lobsters,scala,Scala programming,Notifications over Websockets with Http4s and Skunk,http://www.azavea.com/blog/2020/05/20/notifications-over-websockets-with-http4s-and-skunk/
4,Lobsters,scala,Scala programming,Configuration as Code with Ciris,https://lewisjkl.com/config-as-code/
5,Lobsters,scala,Scala programming,Lazy sequences in the Scala standard library,https://www.toromtomtom.com/blog/2020/05/16/laziness-in-scala.html
6,Lobsters,scala,Scala programming,Serializers for Classes in Spark Datasets,https://www.fullcontact.com/blog/2020/04/09/serializers-for-classes-in-datasets/
7,Lobsters,scala,Scala programming,Functional GraphQL library for Scala,https://ghostdogpr.github.io/caliban/
8,Lobsters,scala,Scala programming,The Death of Hype: What's Next for Scala,http://www.lihaoyi.com/post/TheDeathofHypeWhatsNextforScala.html
9,Lobsters,scala,Scala programming,Cats Effect Ref,https://lewisjkl.com/cats-effect-ref/
10,Lobsters,scala,Scala programming,Building a Super Easy Rate Limiter with ZIO,https://medium.com/wix-engineering/building-a-super-easy-rate-limiter-with-zio-88f1ccb49776
11,Lobsters,scala,Scala programming,Scala Implicits are Everywhere: A large-scale study of the use of Implicits in the wild (2019),https://arxiv.org/abs/1908.07883
12,Lobsters,scala,Scala programming,What Could Possibly Go Wrong: Polyglot Party with Nextjournal,https://www.innoq.com/en/blog/what-could-possibly-go-wrong/
13,Lobsters,scala,Scala programming,"LambdaConf 2020 Call for Proposals: Scala, Haskell, Kotlin, Purescript, Rust, Elm, Elixir, F#",https://lambdaconf.zohobackstage.com/LambdaConf2020#/cfp?lang=en
14,Lobsters,scala,Scala programming,A Glossary of Functional Programming,http://degoes.net/articles/fp-glossary
15,Lobsters,scala,Scala programming,Beyond Liskov: Type Safe Equality in Scala,http://www.lihaoyi.com/post/BeyondLiskovTypeSafeEqualityinScala.html
16,Lobsters,scala,Scala programming,Require is an Anti-Pattern,https://lewisjkl.com/require-anti-pattern/
17,Lobsters,scala,Scala programming,Use := for Assignment (Scala 3),https://github.com/lampepfl/dotty/issues/7598
18,Lobsters,scala,Scala programming,Scala Notes: Case Classes and Case Objects,https://www.jowanza.com/blog/2019/11/17/scala-notes-case-classes-and-case-objects
19,Lobsters,scala,Scala programming,Working with HTTP in Polynote,https://blog.softwaremill.com/working-with-http-in-polynote-d950dcfcd75f
