ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,web,Web Development,Add Search to an Eleventy website with Elasticlunr,https://www.belter.io/eleventy-search/
2,Lobsters,web,Web Development,What are you writing?,/s/whxjbs/what_are_you_writing
3,Lobsters,web,Web Development,Piccolo: Strong Othello AI With GUI Written in Go and Published in WASM,https://piccolo.click
4,Lobsters,web,Web Development,Login regression for users with non-ASCII names,https://blog.launchpad.net/general/login-regression-for-users-with-non-ascii-names
5,Lobsters,web,Web Development,Exploring Certificates,https://dev.to/singhshemona/certificates-395n
6,Lobsters,web,Web Development,Creative uses of ALIAS records in PowerDNS,https://www.datafaber.com/2020/08/creative-uses-of-alias-records-in-powerdns/
7,Lobsters,web,Web Development,Everything Old is New Again: Binary Security of WebAssembly,https://www.usenix.org/conference/usenixsecurity20/presentation/lehmann
8,Lobsters,web,Web Development,Error Tracking & Monitoring — An Overview for Production Web-Apps,https://www.youtube.com/watch?v=YpxniTQdML8
9,Lobsters,web,Web Development,"Records & Tuples for React, way more than immutability",https://dev.to/sebastienlorber/records-tuples-for-react-way-more-than-immutability-2iic
10,Lobsters,web,Web Development,The Origins of the Underline as Visual Representation of the Hyperlink on the Web,https://dash.harvard.edu/bitstream/handle/1/33797379/ROMANO-DOCUMENT-2016.pdf
11,Lobsters,web,Web Development,Separating Concerns in React with the 'Named Children' Pattern,https://ncphi.dev/blog/react-named-children
12,Lobsters,web,Web Development,Introducing Federated Modules in Webpack 5,https://www.youtube.com/watch?v=D3XYAx30CNc
13,Lobsters,web,Web Development,Understanding and Implementing OAuth2 in Ruby,https://www.honeybadger.io/blog/oauth2-ruby/
14,Lobsters,web,Web Development,Single Page Applications using Rust,http://www.sheshbabu.com/posts/rust-wasm-yew-single-page-application/
15,Lobsters,web,Web Development,Django Views — The Right Way,https://spookylukey.github.io/django-views-the-right-way/
16,Lobsters,web,Web Development,The Right Flow For The Job: Which OAuth 2.0 Flow Should I Use? (2019),https://www.javacodegeeks.com/2019/01/right-flow-job-oauth-2-0-flow-should-use.html
17,Lobsters,web,Web Development,sh(1) simple combined log analytics for static sites (wip),https://adi.tilde.institute/cbl/
18,Lobsters,web,Web Development,Privacy Focused Analytics From Scratch,https://healeycodes.com/privacy-focused-analytics-from-scratch/
19,Lobsters,web,Web Development,Do I need a custom Select?,https://doineedacustomselect.com/
20,Lobsters,web,Web Development,How do you solve environment configuration in your SPA?,/s/z3fcaq/how_do_you_solve_environment
21,Lobsters,web,Web Development,"An Architecture for Community Contribution, Speed and Modularity",https://jponline.github.io/looset-landing/an-architecture/
22,Lobsters,web,Web Development,One-Page Chess,https://danielbmarkham.locals.com/post/107812/technical-tuesdays-one-page-chess
23,Lobsters,web,Web Development,How to Switch from jQuery to Vanilla JavaScript with Bootstrap 5,https://www.freecodecamp.org/news/bootstrap-5-vanilla-js-tutorial/
24,Lobsters,web,Web Development,Certificate Transparency: a bird’s-eye view,https://emilymstark.com/2020/07/20/certificate-transparency-a-birds-eye-view.html
25,Lobsters,web,Web Development,Surviving Django (if you care about databases),https://www.varrazzo.com/blog/2020/07/25/surviving-django/
26,Lobsters,web,Web Development,Add Search to an Eleventy website with Elasticlunr,https://www.belter.io/eleventy-search/
27,Lobsters,web,Web Development,What are you writing?,/s/whxjbs/what_are_you_writing
28,Lobsters,web,Web Development,Piccolo: Strong Othello AI With GUI Written in Go and Published in WASM,https://piccolo.click
29,Lobsters,web,Web Development,Login regression for users with non-ASCII names,https://blog.launchpad.net/general/login-regression-for-users-with-non-ascii-names
30,Lobsters,web,Web Development,Exploring Certificates,https://dev.to/singhshemona/certificates-395n
31,Lobsters,web,Web Development,Creative uses of ALIAS records in PowerDNS,https://www.datafaber.com/2020/08/creative-uses-of-alias-records-in-powerdns/
32,Lobsters,web,Web Development,Everything Old is New Again: Binary Security of WebAssembly,https://www.usenix.org/conference/usenixsecurity20/presentation/lehmann
33,Lobsters,web,Web Development,Error Tracking & Monitoring — An Overview for Production Web-Apps,https://www.youtube.com/watch?v=YpxniTQdML8
34,Lobsters,web,Web Development,"Records & Tuples for React, way more than immutability",https://dev.to/sebastienlorber/records-tuples-for-react-way-more-than-immutability-2iic
35,Lobsters,web,Web Development,The Origins of the Underline as Visual Representation of the Hyperlink on the Web,https://dash.harvard.edu/bitstream/handle/1/33797379/ROMANO-DOCUMENT-2016.pdf
36,Lobsters,web,Web Development,Separating Concerns in React with the 'Named Children' Pattern,https://ncphi.dev/blog/react-named-children
37,Lobsters,web,Web Development,Introducing Federated Modules in Webpack 5,https://www.youtube.com/watch?v=D3XYAx30CNc
38,Lobsters,web,Web Development,Understanding and Implementing OAuth2 in Ruby,https://www.honeybadger.io/blog/oauth2-ruby/
39,Lobsters,web,Web Development,Single Page Applications using Rust,http://www.sheshbabu.com/posts/rust-wasm-yew-single-page-application/
40,Lobsters,web,Web Development,Django Views — The Right Way,https://spookylukey.github.io/django-views-the-right-way/
41,Lobsters,web,Web Development,The Right Flow For The Job: Which OAuth 2.0 Flow Should I Use? (2019),https://www.javacodegeeks.com/2019/01/right-flow-job-oauth-2-0-flow-should-use.html
42,Lobsters,web,Web Development,sh(1) simple combined log analytics for static sites (wip),https://adi.tilde.institute/cbl/
43,Lobsters,web,Web Development,Privacy Focused Analytics From Scratch,https://healeycodes.com/privacy-focused-analytics-from-scratch/
44,Lobsters,web,Web Development,Do I need a custom Select?,https://doineedacustomselect.com/
45,Lobsters,web,Web Development,How do you solve environment configuration in your SPA?,/s/z3fcaq/how_do_you_solve_environment
46,Lobsters,web,Web Development,"An Architecture for Community Contribution, Speed and Modularity",https://jponline.github.io/looset-landing/an-architecture/
47,Lobsters,web,Web Development,One-Page Chess,https://danielbmarkham.locals.com/post/107812/technical-tuesdays-one-page-chess
48,Lobsters,web,Web Development,How to Switch from jQuery to Vanilla JavaScript with Bootstrap 5,https://www.freecodecamp.org/news/bootstrap-5-vanilla-js-tutorial/
49,Lobsters,web,Web Development,Certificate Transparency: a bird’s-eye view,https://emilymstark.com/2020/07/20/certificate-transparency-a-birds-eye-view.html
